,,Non-donation,Donation,Statistics
Disposable income,4442.0,23 (95.83%),1 (4.17%),
Disposable income,4443.0,30 (83.33%),6 (16.67%),
Disposable income,4443.8,2 (50.00%),2 (50.00%),
Disposable income,4444.0,37 (97.37%),1 (2.63%),
Disposable income,4445.0,10 (83.33%),2 (16.67%),
Disposable income,4446.0,23 (88.46%),3 (11.54%),
Disposable income,4448.0,34 (94.44%),2 (5.56%),
Disposable income,4448.2,1 (25.00%),3 (75.00%),
Disposable income,4449.0,32 (96.97%),1 (3.03%),
Disposable income,4449.89273528291,2 (50.00%),2 (50.00%),
Disposable income,4450.0,32 (82.05%),7 (17.95%),
Disposable income,4451.0,30 (96.77%),1 (3.23%),
Disposable income,4451.8,2 (66.67%),1 (33.33%),
Disposable income,4452.0,13 (86.67%),2 (13.33%),
Disposable income,4454.0,38 (97.44%),1 (2.56%),
Disposable income,4455.0,27 (93.10%),2 (6.90%),
Disposable income,4456.0,24 (96.00%),1 (4.00%),
Disposable income,4457.0,39 (90.70%),4 (9.30%),
Disposable income,4458.0,20 (95.24%),1 (4.76%),
Disposable income,4459.0,27 (81.82%),6 (18.18%),
Disposable income,4460.0,47 (95.92%),2 (4.08%),
Disposable income,4464.0,28 (84.85%),5 (15.15%),
Disposable income,4465.0,22 (81.48%),5 (18.52%),
Disposable income,4468.0,37 (94.87%),2 (5.13%),
Disposable income,4469.0,29 (87.88%),4 (12.12%),
Disposable income,4470.0,13 (81.25%),3 (18.75%),
Disposable income,4471.0,20 (95.24%),1 (4.76%),
Disposable income,4472.0,33 (89.19%),4 (10.81%),
Disposable income,4473.0,22 (88.00%),3 (12.00%),
Disposable income,4474.0,26 (92.86%),2 (7.14%),
Disposable income,4475.0,31 (91.18%),3 (8.82%),
Disposable income,4476.0,47 (95.92%),2 (4.08%),
Disposable income,4477.0,25 (96.15%),1 (3.85%),
Disposable income,4478.0,42 (93.33%),3 (6.67%),
Disposable income,4480.0,30 (96.77%),1 (3.23%),
Disposable income,4481.0,52 (96.30%),2 (3.70%),
Disposable income,4482.0,29 (93.55%),2 (6.45%),
Disposable income,4485.0,22 (91.67%),2 (8.33%),
Disposable income,4486.0,22 (95.65%),1 (4.35%),
Disposable income,4487.0,9 (90.00%),1 (10.00%),
Disposable income,4488.0,30 (90.91%),3 (9.09%),
Disposable income,4489.0,13 (92.86%),1 (7.14%),
Disposable income,4489.8,1 (50.00%),1 (50.00%),
Disposable income,4490.0,37 (92.50%),3 (7.50%),
Disposable income,4491.0,28 (96.55%),1 (3.45%),
Disposable income,4492.0,31 (88.57%),4 (11.43%),
Disposable income,4495.0,19 (95.00%),1 (5.00%),
Disposable income,4497.0,40 (90.91%),4 (9.09%),
Disposable income,4499.0,17 (80.95%),4 (19.05%),
Disposable income,4500.0,40 (88.89%),5 (11.11%),
Disposable income,4501.4,1 (50.00%),1 (50.00%),
Disposable income,4502.0,20 (90.91%),2 (9.09%),
Disposable income,4503.2,1 (25.00%),3 (75.00%),
Disposable income,4504.0,25 (89.29%),3 (10.71%),
Disposable income,4506.0,24 (92.31%),2 (7.69%),
Disposable income,4507.0,30 (83.33%),6 (16.67%),
Disposable income,4507.2,2 (66.67%),1 (33.33%),
Disposable income,4508.0,25 (89.29%),3 (10.71%),
Disposable income,4509.0,30 (96.77%),1 (3.23%),
Disposable income,4510.0,25 (92.59%),2 (7.41%),
Disposable income,4511.0,19 (95.00%),1 (5.00%),
Disposable income,4512.0,39 (97.50%),1 (2.50%),
Disposable income,4513.0,35 (94.59%),2 (5.41%),
Disposable income,4514.0,37 (88.10%),5 (11.90%),
Disposable income,4515.0,18 (94.74%),1 (5.26%),
Disposable income,4516.0,37 (94.87%),2 (5.13%),
Disposable income,4517.0,38 (97.44%),1 (2.56%),
Disposable income,4518.0,36 (97.30%),1 (2.70%),
Disposable income,4520.0,34 (94.44%),2 (5.56%),
Disposable income,4521.0,33 (97.06%),1 (2.94%),
Disposable income,4521.2,1 (33.33%),2 (66.67%),
Disposable income,4522.0,37 (92.50%),3 (7.50%),
Disposable income,4522.4,3 (75.00%),1 (25.00%),
Disposable income,4523.0,19 (86.36%),3 (13.64%),
Disposable income,4524.0,29 (90.62%),3 (9.38%),
Disposable income,4525.0,31 (86.11%),5 (13.89%),
Disposable income,4526.0,15 (88.24%),2 (11.76%),
Disposable income,4527.0,11 (84.62%),2 (15.38%),
Disposable income,4528.0,25 (96.15%),1 (3.85%),
Disposable income,4529.0,22 (95.65%),1 (4.35%),
Disposable income,4530.0,42 (97.67%),1 (2.33%),
Disposable income,4532.0,20 (95.24%),1 (4.76%),
Disposable income,4533.0,20 (95.24%),1 (4.76%),
Disposable income,4534.0,53 (94.64%),3 (5.36%),
Disposable income,4535.0,53 (89.83%),6 (10.17%),
Disposable income,4536.0,35 (97.22%),1 (2.78%),
Disposable income,4538.0,24 (96.00%),1 (4.00%),
Disposable income,4540.0,31 (93.94%),2 (6.06%),
Disposable income,4541.0,33 (94.29%),2 (5.71%),
Disposable income,4542.0,31 (93.94%),2 (6.06%),
Disposable income,4543.0,21 (87.50%),3 (12.50%),
Disposable income,4544.0,31 (93.94%),2 (6.06%),
Disposable income,4544.8,3 (75.00%),1 (25.00%),
Disposable income,4545.0,27 (93.10%),2 (6.90%),
Disposable income,4546.0,38 (90.48%),4 (9.52%),
Disposable income,4547.0,27 (96.43%),1 (3.57%),
Disposable income,4548.0,35 (94.59%),2 (5.41%),
Disposable income,4549.0,36 (94.74%),2 (5.26%),
Disposable income,4550.0,36 (94.74%),2 (5.26%),
Disposable income,4551.0,32 (88.89%),4 (11.11%),
Disposable income,4552.0,44 (93.62%),3 (6.38%),
Disposable income,4553.0,21 (95.45%),1 (4.55%),
Disposable income,4554.0,10 (71.43%),4 (28.57%),
Disposable income,4555.0,28 (93.33%),2 (6.67%),
Disposable income,4557.0,45 (95.74%),2 (4.26%),
Disposable income,4559.0,32 (96.97%),1 (3.03%),
Disposable income,4560.0,18 (81.82%),4 (18.18%),
Disposable income,4561.0,30 (96.77%),1 (3.23%),
Disposable income,4563.0,36 (92.31%),3 (7.69%),
Disposable income,4564.0,24 (96.00%),1 (4.00%),
Disposable income,4565.0,25 (89.29%),3 (10.71%),
Disposable income,4565.6,3 (75.00%),1 (25.00%),
Disposable income,4566.0,23 (92.00%),2 (8.00%),
Disposable income,4568.0,22 (95.65%),1 (4.35%),
Disposable income,4571.0,30 (88.24%),4 (11.76%),
Disposable income,4572.0,27 (90.00%),3 (10.00%),
Disposable income,4573.0,20 (95.24%),1 (4.76%),
Disposable income,4574.0,36 (94.74%),2 (5.26%),
Disposable income,4575.0,31 (93.94%),2 (6.06%),
Disposable income,4576.0,14 (77.78%),4 (22.22%),
Disposable income,4578.0,29 (93.55%),2 (6.45%),
Disposable income,4581.0,34 (87.18%),5 (12.82%),
Disposable income,4582.0,32 (94.12%),2 (5.88%),
Disposable income,4583.0,27 (93.10%),2 (6.90%),
Disposable income,4583.2,2 (66.67%),1 (33.33%),
Disposable income,4584.0,46 (93.88%),3 (6.12%),
Disposable income,4586.0,39 (95.12%),2 (4.88%),
Disposable income,4586.6,1 (50.00%),1 (50.00%),
Disposable income,4587.0,38 (97.44%),1 (2.56%),
Disposable income,4589.0,17 (94.44%),1 (5.56%),
Disposable income,4590.0,26 (89.66%),3 (10.34%),
Disposable income,4591.0,35 (94.59%),2 (5.41%),
Disposable income,4594.0,30 (96.77%),1 (3.23%),
Disposable income,4595.2,3 (75.00%),1 (25.00%),
Disposable income,4596.0,52 (86.67%),8 (13.33%),
Disposable income,4597.0,8 (88.89%),1 (11.11%),
Disposable income,4599.0,9 (75.00%),3 (25.00%),
Disposable income,4600.0,28 (84.85%),5 (15.15%),
Disposable income,4602.0,31 (96.88%),1 (3.12%),
Disposable income,4603.0,20 (86.96%),3 (13.04%),
Disposable income,4604.0,21 (84.00%),4 (16.00%),
Disposable income,4606.0,32 (94.12%),2 (5.88%),
Disposable income,4607.0,23 (95.83%),1 (4.17%),
Disposable income,4608.0,29 (87.88%),4 (12.12%),
Disposable income,4609.0,14 (87.50%),2 (12.50%),
Disposable income,4610.0,37 (97.37%),1 (2.63%),
Disposable income,4612.0,16 (94.12%),1 (5.88%),
Disposable income,4615.0,27 (93.10%),2 (6.90%),
Disposable income,4616.0,33 (94.29%),2 (5.71%),
Disposable income,4617.0,38 (92.68%),3 (7.32%),
Disposable income,4618.0,21 (91.30%),2 (8.70%),
Disposable income,4619.0,25 (92.59%),2 (7.41%),
Disposable income,4620.0,26 (92.86%),2 (7.14%),
Disposable income,4622.0,53 (96.36%),2 (3.64%),
Disposable income,4623.0,32 (88.89%),4 (11.11%),
Disposable income,4624.0,36 (94.74%),2 (5.26%),
Disposable income,4625.0,18 (90.00%),2 (10.00%),
Disposable income,4626.0,33 (91.67%),3 (8.33%),
Disposable income,4628.0,32 (94.12%),2 (5.88%),
Disposable income,4629.0,55 (98.21%),1 (1.79%),
Disposable income,4630.0,19 (95.00%),1 (5.00%),
Disposable income,4631.0,26 (89.66%),3 (10.34%),
Disposable income,4632.0,45 (91.84%),4 (8.16%),
Disposable income,4632.8,3 (75.00%),1 (25.00%),
Disposable income,4634.0,24 (92.31%),2 (7.69%),
Disposable income,4635.0,21 (91.30%),2 (8.70%),
Disposable income,4636.0,27 (96.43%),1 (3.57%),
Disposable income,4637.0,48 (97.96%),1 (2.04%),
Disposable income,4638.0,29 (90.62%),3 (9.38%),
Disposable income,4639.0,22 (88.00%),3 (12.00%),
Disposable income,4642.0,35 (94.59%),2 (5.41%),
Disposable income,4643.0,33 (94.29%),2 (5.71%),
Disposable income,4644.0,34 (89.47%),4 (10.53%),
Disposable income,4647.0,34 (94.44%),2 (5.56%),
Disposable income,4648.0,36 (87.80%),5 (12.20%),
Disposable income,4649.0,47 (92.16%),4 (7.84%),
Disposable income,4650.0,21 (95.45%),1 (4.55%),
Disposable income,4651.0,26 (89.66%),3 (10.34%),
Disposable income,4652.0,23 (85.19%),4 (14.81%),
Disposable income,4654.0,22 (81.48%),5 (18.52%),
Disposable income,4656.0,35 (87.50%),5 (12.50%),
Disposable income,4657.0,28 (93.33%),2 (6.67%),
Disposable income,4658.0,25 (96.15%),1 (3.85%),
Disposable income,4659.0,14 (87.50%),2 (12.50%),
Disposable income,4661.0,19 (95.00%),1 (5.00%),
Disposable income,4662.0,16 (88.89%),2 (11.11%),
Disposable income,4663.0,26 (96.30%),1 (3.70%),
Disposable income,4664.0,13 (92.86%),1 (7.14%),
Disposable income,4665.0,31 (93.94%),2 (6.06%),
Disposable income,4666.0,40 (90.91%),4 (9.09%),
Disposable income,4668.0,24 (92.31%),2 (7.69%),
Disposable income,4669.0,29 (96.67%),1 (3.33%),
Disposable income,4672.0,15 (78.95%),4 (21.05%),
Disposable income,4673.0,10 (90.91%),1 (9.09%),
Disposable income,4674.0,17 (85.00%),3 (15.00%),
Disposable income,4675.0,17 (94.44%),1 (5.56%),
Disposable income,4676.0,38 (95.00%),2 (5.00%),
Disposable income,4677.0,19 (95.00%),1 (5.00%),
Disposable income,4677.6,1 (50.00%),1 (50.00%),
Disposable income,4678.0,21 (95.45%),1 (4.55%),
Disposable income,4680.0,38 (95.00%),2 (5.00%),
Disposable income,4681.0,31 (86.11%),5 (13.89%),
Disposable income,4682.0,20 (90.91%),2 (9.09%),
Disposable income,4682.2,1 (50.00%),1 (50.00%),
Disposable income,4684.0,31 (96.88%),1 (3.12%),
Disposable income,4685.0,23 (95.83%),1 (4.17%),
Disposable income,4688.0,35 (87.50%),5 (12.50%),
Disposable income,4691.0,23 (95.83%),1 (4.17%),
Disposable income,4692.0,17 (94.44%),1 (5.56%),
Disposable income,4693.0,42 (95.45%),2 (4.55%),
Disposable income,4694.0,24 (96.00%),1 (4.00%),
Disposable income,4695.0,35 (97.22%),1 (2.78%),
Disposable income,4696.0,25 (92.59%),2 (7.41%),
Disposable income,4697.0,18 (94.74%),1 (5.26%),
Disposable income,4697.5,2 (66.67%),1 (33.33%),
Disposable income,4698.0,45 (93.75%),3 (6.25%),
Disposable income,4699.0,20 (90.91%),2 (9.09%),
Disposable income,4700.0,14 (87.50%),2 (12.50%),
Disposable income,4703.0,31 (96.88%),1 (3.12%),
Disposable income,4704.0,50 (92.59%),4 (7.41%),
Disposable income,4706.0,20 (95.24%),1 (4.76%),
Disposable income,4707.0,21 (95.45%),1 (4.55%),
Disposable income,4708.0,31 (88.57%),4 (11.43%),
Disposable income,4710.0,27 (93.10%),2 (6.90%),
Disposable income,4711.0,32 (91.43%),3 (8.57%),
Disposable income,4712.0,38 (97.44%),1 (2.56%),
Disposable income,4713.0,27 (96.43%),1 (3.57%),
Disposable income,4714.0,26 (92.86%),2 (7.14%),
Disposable income,4715.0,22 (91.67%),2 (8.33%),
Disposable income,4717.0,13 (86.67%),2 (13.33%),
Disposable income,4718.0,19 (95.00%),1 (5.00%),
Disposable income,4719.0,31 (77.50%),9 (22.50%),
Disposable income,4720.0,25 (92.59%),2 (7.41%),
Disposable income,4722.0,19 (95.00%),1 (5.00%),
Disposable income,4723.0,18 (85.71%),3 (14.29%),
Disposable income,4724.0,40 (97.56%),1 (2.44%),
Disposable income,4726.0,25 (86.21%),4 (13.79%),
Disposable income,4728.0,27 (93.10%),2 (6.90%),
Disposable income,4729.0,23 (95.83%),1 (4.17%),
Disposable income,4730.0,34 (89.47%),4 (10.53%),
Disposable income,4731.0,23 (95.83%),1 (4.17%),
Disposable income,4732.0,35 (94.59%),2 (5.41%),
Disposable income,4733.0,24 (85.71%),4 (14.29%),
Disposable income,4734.0,44 (95.65%),2 (4.35%),
Disposable income,4735.0,17 (89.47%),2 (10.53%),
Disposable income,4736.0,21 (91.30%),2 (8.70%),
Disposable income,4737.0,26 (89.66%),3 (10.34%),
Disposable income,4738.0,28 (93.33%),2 (6.67%),
Disposable income,4739.0,33 (97.06%),1 (2.94%),
Disposable income,4740.0,46 (95.83%),2 (4.17%),
Disposable income,4743.0,47 (95.92%),2 (4.08%),
Disposable income,4744.0,30 (93.75%),2 (6.25%),
Disposable income,4745.0,21 (95.45%),1 (4.55%),
Disposable income,4746.0,37 (92.50%),3 (7.50%),
Disposable income,4747.0,10 (90.91%),1 (9.09%),
Disposable income,4748.0,14 (87.50%),2 (12.50%),
Disposable income,4749.0,25 (96.15%),1 (3.85%),
Disposable income,4750.0,43 (91.49%),4 (8.51%),
Disposable income,4751.0,31 (96.88%),1 (3.12%),
Disposable income,4752.0,31 (96.88%),1 (3.12%),
Disposable income,4753.0,30 (96.77%),1 (3.23%),
Disposable income,4754.0,46 (95.83%),2 (4.17%),
Disposable income,4755.0,44 (95.65%),2 (4.35%),
Disposable income,4757.0,34 (91.89%),3 (8.11%),
Disposable income,4758.0,39 (95.12%),2 (4.88%),
Disposable income,4759.0,23 (95.83%),1 (4.17%),
Disposable income,4760.0,22 (95.65%),1 (4.35%),
Disposable income,4761.0,41 (95.35%),2 (4.65%),
Disposable income,4762.0,14 (82.35%),3 (17.65%),
Disposable income,4763.0,17 (94.44%),1 (5.56%),
Disposable income,4764.0,35 (87.50%),5 (12.50%),
Disposable income,4767.0,21 (91.30%),2 (8.70%),
Disposable income,4769.0,28 (90.32%),3 (9.68%),
Disposable income,4770.0,30 (96.77%),1 (3.23%),
Disposable income,4771.0,28 (96.55%),1 (3.45%),
Disposable income,4774.0,32 (88.89%),4 (11.11%),
Disposable income,4775.0,41 (97.62%),1 (2.38%),
Disposable income,4776.0,34 (94.44%),2 (5.56%),
Disposable income,4777.0,31 (91.18%),3 (8.82%),
Disposable income,4779.0,32 (86.49%),5 (13.51%),
Disposable income,4780.0,33 (91.67%),3 (8.33%),
Disposable income,4781.0,13 (86.67%),2 (13.33%),
Disposable income,4782.0,29 (90.62%),3 (9.38%),
Disposable income,4783.0,18 (94.74%),1 (5.26%),
Disposable income,4784.0,23 (88.46%),3 (11.54%),
Disposable income,4786.0,38 (90.48%),4 (9.52%),
Disposable income,4787.0,30 (83.33%),6 (16.67%),
Disposable income,4788.0,16 (88.89%),2 (11.11%),
Disposable income,4790.8,2 (66.67%),1 (33.33%),
Disposable income,4791.0,28 (90.32%),3 (9.68%),
Disposable income,4792.0,47 (92.16%),4 (7.84%),
Disposable income,4793.0,24 (92.31%),2 (7.69%),
Disposable income,4794.0,46 (93.88%),3 (6.12%),
Disposable income,4795.0,31 (93.94%),2 (6.06%),
Disposable income,4797.0,23 (92.00%),2 (8.00%),
Disposable income,4798.0,26 (96.30%),1 (3.70%),
Disposable income,4799.0,20 (95.24%),1 (4.76%),
Disposable income,4800.0,31 (91.18%),3 (8.82%),
Disposable income,4803.0,20 (95.24%),1 (4.76%),
Disposable income,4804.0,33 (94.29%),2 (5.71%),
Disposable income,4805.0,31 (93.94%),2 (6.06%),
Disposable income,4806.0,25 (89.29%),3 (10.71%),
Disposable income,4807.0,16 (94.12%),1 (5.88%),
Disposable income,4808.0,29 (87.88%),4 (12.12%),
Disposable income,4809.0,50 (92.59%),4 (7.41%),
Disposable income,4811.0,16 (88.89%),2 (11.11%),
Disposable income,4811.2,1 (33.33%),2 (66.67%),
Disposable income,4812.0,31 (96.88%),1 (3.12%),
Disposable income,4814.0,56 (94.92%),3 (5.08%),
Disposable income,4815.0,19 (82.61%),4 (17.39%),
Disposable income,4816.0,22 (95.65%),1 (4.35%),
Disposable income,4818.0,17 (85.00%),3 (15.00%),
Disposable income,4819.0,37 (97.37%),1 (2.63%),
Disposable income,4820.0,25 (78.12%),7 (21.88%),
Disposable income,4821.0,35 (92.11%),3 (7.89%),
Disposable income,4823.0,25 (96.15%),1 (3.85%),
Disposable income,4824.0,40 (97.56%),1 (2.44%),
Disposable income,4826.0,37 (88.10%),5 (11.90%),
Disposable income,4827.0,25 (96.15%),1 (3.85%),
Disposable income,4829.0,25 (92.59%),2 (7.41%),
Disposable income,4829.4,4 (80.00%),1 (20.00%),
Disposable income,4830.0,20 (95.24%),1 (4.76%),
Disposable income,4831.0,30 (96.77%),1 (3.23%),
Disposable income,4832.0,26 (96.30%),1 (3.70%),
Disposable income,4833.0,24 (92.31%),2 (7.69%),
Disposable income,4834.0,39 (95.12%),2 (4.88%),
Disposable income,4836.0,37 (97.37%),1 (2.63%),
Disposable income,4837.0,17 (85.00%),3 (15.00%),
Disposable income,4838.0,11 (84.62%),2 (15.38%),
Disposable income,4839.0,30 (96.77%),1 (3.23%),
Disposable income,4840.0,44 (91.67%),4 (8.33%),
Disposable income,4841.0,19 (90.48%),2 (9.52%),
Disposable income,4842.0,18 (90.00%),2 (10.00%),
Disposable income,4843.0,36 (94.74%),2 (5.26%),
Disposable income,4844.0,25 (92.59%),2 (7.41%),
Disposable income,4846.0,42 (95.45%),2 (4.55%),
Disposable income,4848.0,50 (96.15%),2 (3.85%),
Disposable income,4850.0,25 (86.21%),4 (13.79%),
Disposable income,4852.0,33 (91.67%),3 (8.33%),
Disposable income,4853.0,30 (93.75%),2 (6.25%),
Disposable income,4854.0,32 (86.49%),5 (13.51%),
Disposable income,4855.0,24 (85.71%),4 (14.29%),
Disposable income,4856.0,32 (88.89%),4 (11.11%),
Disposable income,4857.0,22 (88.00%),3 (12.00%),
Disposable income,4859.0,40 (95.24%),2 (4.76%),
Disposable income,4860.0,16 (84.21%),3 (15.79%),
Disposable income,4861.0,30 (96.77%),1 (3.23%),
Disposable income,4862.0,43 (87.76%),6 (12.24%),
Disposable income,4864.0,39 (92.86%),3 (7.14%),
Disposable income,4865.0,13 (92.86%),1 (7.14%),
Disposable income,4866.0,27 (90.00%),3 (10.00%),
Disposable income,4868.0,23 (88.46%),3 (11.54%),
Disposable income,4870.0,23 (95.83%),1 (4.17%),
Disposable income,4871.0,23 (85.19%),4 (14.81%),
Disposable income,4872.0,35 (92.11%),3 (7.89%),
Disposable income,4874.0,18 (90.00%),2 (10.00%),
Disposable income,4876.0,51 (98.08%),1 (1.92%),
Disposable income,4877.0,11 (78.57%),3 (21.43%),
Disposable income,4878.0,35 (94.59%),2 (5.41%),
Disposable income,4880.0,20 (90.91%),2 (9.09%),
Disposable income,4882.0,3 (75.00%),1 (25.00%),
Disposable income,4883.0,23 (92.00%),2 (8.00%),
Disposable income,4884.0,26 (86.67%),4 (13.33%),
Disposable income,4885.0,10 (83.33%),2 (16.67%),
Disposable income,4886.8,1 (50.00%),1 (50.00%),
Disposable income,4887.0,28 (90.32%),3 (9.68%),
Disposable income,4888.0,27 (93.10%),2 (6.90%),
Disposable income,4889.0,23 (92.00%),2 (8.00%),
Disposable income,4890.0,23 (88.46%),3 (11.54%),
Disposable income,4891.0,18 (85.71%),3 (14.29%),
Disposable income,4892.0,21 (91.30%),2 (8.70%),
Disposable income,4894.0,30 (90.91%),3 (9.09%),
Disposable income,4895.0,43 (95.56%),2 (4.44%),
Disposable income,4896.0,38 (95.00%),2 (5.00%),
Disposable income,4897.0,31 (91.18%),3 (8.82%),
Disposable income,4898.0,24 (96.00%),1 (4.00%),
Disposable income,4900.0,33 (94.29%),2 (5.71%),
Disposable income,4901.0,27 (93.10%),2 (6.90%),
Disposable income,4902.0,29 (93.55%),2 (6.45%),
Disposable income,4903.0,13 (81.25%),3 (18.75%),
Disposable income,4904.0,31 (93.94%),2 (6.06%),
Disposable income,4904.2,2 (66.67%),1 (33.33%),
Disposable income,4905.0,29 (93.55%),2 (6.45%),
Disposable income,4906.0,18 (94.74%),1 (5.26%),
Disposable income,4907.0,18 (94.74%),1 (5.26%),
Disposable income,4908.0,40 (95.24%),2 (4.76%),
Disposable income,4910.0,16 (88.89%),2 (11.11%),
Disposable income,4911.0,14 (87.50%),2 (12.50%),
Disposable income,4912.0,21 (87.50%),3 (12.50%),
Disposable income,4913.0,12 (85.71%),2 (14.29%),
Disposable income,4914.0,22 (88.00%),3 (12.00%),
Disposable income,4915.0,22 (95.65%),1 (4.35%),
Disposable income,4916.0,43 (95.56%),2 (4.44%),
Disposable income,4918.0,16 (88.89%),2 (11.11%),
Disposable income,4920.0,21 (95.45%),1 (4.55%),
Disposable income,4922.0,32 (88.89%),4 (11.11%),
Disposable income,4923.0,13 (86.67%),2 (13.33%),
Disposable income,4924.0,26 (92.86%),2 (7.14%),
Disposable income,4925.32541936167,1 (50.00%),1 (50.00%),
Disposable income,4925.8,8 (88.89%),1 (11.11%),
Disposable income,4926.0,26 (96.30%),1 (3.70%),
Disposable income,4927.0,45 (97.83%),1 (2.17%),
Disposable income,4929.0,37 (94.87%),2 (5.13%),
Disposable income,4931.0,10 (90.91%),1 (9.09%),
Disposable income,4932.0,30 (88.24%),4 (11.76%),
Disposable income,4935.0,14 (93.33%),1 (6.67%),
Disposable income,4936.0,21 (87.50%),3 (12.50%),
Disposable income,4937.0,40 (95.24%),2 (4.76%),
Disposable income,4940.0,29 (90.62%),3 (9.38%),
Disposable income,4941.0,22 (95.65%),1 (4.35%),
Disposable income,4942.0,44 (97.78%),1 (2.22%),
Disposable income,4943.0,34 (89.47%),4 (10.53%),
Disposable income,4944.0,33 (91.67%),3 (8.33%),
Disposable income,4945.0,21 (84.00%),4 (16.00%),
Disposable income,4946.0,22 (91.67%),2 (8.33%),
Disposable income,4947.0,27 (90.00%),3 (10.00%),
Disposable income,4948.0,50 (96.15%),2 (3.85%),
Disposable income,4949.0,16 (84.21%),3 (15.79%),
Disposable income,4950.0,23 (95.83%),1 (4.17%),
Disposable income,4951.0,22 (91.67%),2 (8.33%),
Disposable income,4952.0,29 (93.55%),2 (6.45%),
Disposable income,4954.0,38 (84.44%),7 (15.56%),
Disposable income,4955.0,28 (96.55%),1 (3.45%),
Disposable income,4956.0,38 (90.48%),4 (9.52%),
Disposable income,4958.0,27 (87.10%),4 (12.90%),
Disposable income,4959.0,23 (85.19%),4 (14.81%),
Disposable income,4960.0,30 (85.71%),5 (14.29%),
Disposable income,4961.0,29 (90.62%),3 (9.38%),
Disposable income,4962.0,23 (88.46%),3 (11.54%),
Disposable income,4964.0,15 (88.24%),2 (11.76%),
Disposable income,4965.0,10 (71.43%),4 (28.57%),
Disposable income,4965.6,2 (66.67%),1 (33.33%),
Disposable income,4966.0,56 (93.33%),4 (6.67%),
Disposable income,4967.0,21 (87.50%),3 (12.50%),
Disposable income,4968.0,27 (87.10%),4 (12.90%),
Disposable income,4971.0,29 (96.67%),1 (3.33%),
Disposable income,4972.0,42 (97.67%),1 (2.33%),
Disposable income,4973.0,29 (74.36%),10 (25.64%),
Disposable income,4974.0,11 (91.67%),1 (8.33%),
Disposable income,4975.0,21 (95.45%),1 (4.55%),
Disposable income,4977.0,14 (93.33%),1 (6.67%),
Disposable income,4978.0,30 (88.24%),4 (11.76%),
Disposable income,4980.0,37 (92.50%),3 (7.50%),
Disposable income,4981.0,34 (91.89%),3 (8.11%),
Disposable income,4983.0,9 (75.00%),3 (25.00%),
Disposable income,4984.0,21 (91.30%),2 (8.70%),
Disposable income,4986.0,37 (90.24%),4 (9.76%),
Disposable income,4988.0,33 (97.06%),1 (2.94%),
Disposable income,4988.8,3 (75.00%),1 (25.00%),
Disposable income,4991.0,23 (92.00%),2 (8.00%),
Disposable income,4992.0,34 (94.44%),2 (5.56%),
Disposable income,4993.0,10 (90.91%),1 (9.09%),
Disposable income,4994.0,38 (95.00%),2 (5.00%),
Disposable income,4995.0,33 (91.67%),3 (8.33%),
Disposable income,4996.0,21 (95.45%),1 (4.55%),
Disposable income,4997.0,50 (96.15%),2 (3.85%),
Disposable income,4998.0,36 (97.30%),1 (2.70%),
Disposable income,4999.0,31 (96.88%),1 (3.12%),
Disposable income,5001.0,34 (94.44%),2 (5.56%),
Disposable income,5002.0,16 (84.21%),3 (15.79%),
Disposable income,5003.0,24 (96.00%),1 (4.00%),
Disposable income,5004.0,45 (97.83%),1 (2.17%),
Disposable income,5005.0,15 (75.00%),5 (25.00%),
Disposable income,5006.0,19 (90.48%),2 (9.52%),
Disposable income,5007.0,20 (86.96%),3 (13.04%),
Disposable income,5008.0,21 (84.00%),4 (16.00%),
Disposable income,5009.0,27 (90.00%),3 (10.00%),
Disposable income,5010.0,14 (87.50%),2 (12.50%),
Disposable income,5012.0,31 (93.94%),2 (6.06%),
Disposable income,5014.0,26 (96.30%),1 (3.70%),
Disposable income,5015.0,40 (97.56%),1 (2.44%),
Disposable income,5016.0,27 (93.10%),2 (6.90%),
Disposable income,5017.0,37 (88.10%),5 (11.90%),
Disposable income,5018.0,23 (95.83%),1 (4.17%),
Disposable income,5019.0,23 (92.00%),2 (8.00%),
Disposable income,5020.0,53 (98.15%),1 (1.85%),
Disposable income,5022.0,23 (85.19%),4 (14.81%),
Disposable income,5023.0,30 (90.91%),3 (9.09%),
Disposable income,5024.0,38 (97.44%),1 (2.56%),
Disposable income,5025.0,31 (93.94%),2 (6.06%),
Disposable income,5026.0,22 (95.65%),1 (4.35%),
Disposable income,5027.0,33 (91.67%),3 (8.33%),
Disposable income,5028.0,18 (94.74%),1 (5.26%),
Disposable income,5029.0,15 (88.24%),2 (11.76%),
Disposable income,5030.0,22 (95.65%),1 (4.35%),
Disposable income,5031.4,3 (75.00%),1 (25.00%),
Disposable income,5032.0,44 (86.27%),7 (13.73%),
Disposable income,5033.0,7 (87.50%),1 (12.50%),
Disposable income,5034.0,27 (81.82%),6 (18.18%),
Disposable income,5035.0,46 (85.19%),8 (14.81%),
Disposable income,5036.0,31 (93.94%),2 (6.06%),
Disposable income,5039.0,26 (96.30%),1 (3.70%),
Disposable income,5040.0,34 (94.44%),2 (5.56%),
Disposable income,5041.0,27 (87.10%),4 (12.90%),
Disposable income,5043.0,16 (94.12%),1 (5.88%),
Disposable income,5044.0,21 (95.45%),1 (4.55%),
Disposable income,5045.0,27 (93.10%),2 (6.90%),
Disposable income,5046.0,43 (93.48%),3 (6.52%),
Disposable income,5047.0,35 (97.22%),1 (2.78%),
