Features_2022,Features_2021,Features_2020,Features_2019,Features_2018
0,0,문B3-9)학습비 지원기관-2-(1)성인기초 및 문자해득교육,0,0
문A2-11) 프로그램 불만족 요인(중복응답)__(3)직업능력향상교육_1-5,문A2-11) 프로그램 불만족 요인(중복응답)__(3)직업능력향상교육_1-5,문A2-11) 프로그램 불만족 요인(중복응답)__(3)직업능력향상교육_1-5,문A2-11) 프로그램 불만족 요인(중복응답)__(3)직업능력향상교육_1-5,문A2-11) 프로그램 불만족 요인(중복응답)__(3)직업능력향상교육_1-5
0,0,0,문B3-10)자기부담학습비-1-(2)직업능력향상교육(무응답포함),0
문A2-11) 프로그램 불만족 요인(중복응답)__(3)직업능력향상교육_1-6,문A2-11) 프로그램 불만족 요인(중복응답)__(3)직업능력향상교육_1-6,문A2-11) 프로그램 불만족 요인(중복응답)__(3)직업능력향상교육_1-6,문A2-11) 프로그램 불만족 요인(중복응답)__(3)직업능력향상교육_1-6,문A2-11) 프로그램 불만족 요인(중복응답)__(3)직업능력향상교육_1-6
0,0,문B3-10)프로그램 만족도-2-(1)성인기초 및 문자해득교육,0,0
문A2-1) 프로그램 유형__(3)직업능력향상교육_2,문A2-1) 프로그램 유형__(3)직업능력향상교육_2,문A2-1) 프로그램 유형__(3)직업능력향상교육_2,문A2-1) 프로그램 유형__(3)직업능력향상교육_2,문A2-1) 프로그램 유형__(3)직업능력향상교육_2
0,0,0,0,문B3-2)프로그램 과거수강경험 여부 - 2-(3)직업능력향상교육
0,문A2-6)연간참여시간-(1)학위취득을 위한 교육-3,0,0,0
문A2-2) 프로그램 형태__(3)직업능력향상교육_2,문A2-2) 프로그램 형태__(3)직업능력향상교육_2,문A2-2) 프로그램 형태__(3)직업능력향상교육_2,문A2-2) 프로그램 형태__(3)직업능력향상교육_2,문A2-2) 프로그램 형태__(3)직업능력향상교육_2
0,0,문B3-11)프로그램 불만족 요인(중복응답)-2-(1)성인기초 및 문자해득교육_1,0,0
문A2-5) 참여목적__(3)직업능력향상교육_2,문A2-5) 참여목적__(3)직업능력향상교육_2,문A2-5) 참여목적__(3)직업능력향상교육_2,문A2-5) 참여목적__(3)직업능력향상교육_2,문A2-5) 참여목적__(3)직업능력향상교육_2
0,0,0,문B3-13)자격증 취득가능여부-1-(2)직업능력향상교육,0
0,0,0,0,문B3-7)중도 포기여부 - 2-(3)직업능력향상교육
0,0,문B3-11)프로그램 불만족 요인(중복응답)-2-(1)성인기초 및 문자해득교육_2,0,0
0,0,0,0,문B3-8)중도 포기이유 - 2-(3)직업능력향상교육
0,문A2-7)자기부담학습비-(1)학위취득을 위한 교육-3,0,0,0
문A2-7) 자기부담학습비__(3)직업능력향상교육_2,문A2-7) 자기부담학습비__(3)직업능력향상교육_2,문A2-7) 자기부담학습비__(3)직업능력향상교육_2,문A2-7) 자기부담학습비__(3)직업능력향상교육_2,문A2-7) 자기부담학습비__(3)직업능력향상교육_2
문A2-11) 프로그램 불만족 요인(중복응답)__(3)직업능력향상교육_1-2,문A2-11) 프로그램 불만족 요인(중복응답)__(3)직업능력향상교육_1-2,문A2-11) 프로그램 불만족 요인(중복응답)__(3)직업능력향상교육_1-2,문A2-11) 프로그램 불만족 요인(중복응답)__(3)직업능력향상교육_1-2,문A2-11) 프로그램 불만족 요인(중복응답)__(3)직업능력향상교육_1-2
0,0,문B3-11)프로그램 불만족 요인(중복응답)-2-(1)성인기초 및 문자해득교육_3,0,0
문A2-9) 학습비 외부 지원기관__(3)직업능력향상교육_2,문A2-9) 학습비 외부 지원기관__(3)직업능력향상교육_2,문A2-9) 학습비 외부 지원기관__(3)직업능력향상교육_2,문A2-9) 학습비 외부 지원기관__(3)직업능력향상교육_2,문A2-9) 학습비 외부 지원기관__(3)직업능력향상교육_2
0,0,0,0,문B3-12)학습비 지원기관(중복응답) - 2-(3)직업능력향상교육_2
0,0,문B3-11)프로그램 불만족 요인(중복응답)-2-(1)성인기초 및 문자해득교육_4,0,0
0,0,0,0,문B3-12)학습비 지원기관(중복응답) - 2-(3)직업능력향상교육_3
0,0,0,0,문B3-12)학습비 지원기관(중복응답) - 2-(3)직업능력향상교육_4
문A2-11) 프로그램 불만족 요인(중복응답)__(3)직업능력향상교육_1-4,문A2-11) 프로그램 불만족 요인(중복응답)__(3)직업능력향상교육_1-4,문A2-11) 프로그램 불만족 요인(중복응답)__(3)직업능력향상교육_1-4,문A2-11) 프로그램 불만족 요인(중복응답)__(3)직업능력향상교육_1-4,문A2-11) 프로그램 불만족 요인(중복응답)__(3)직업능력향상교육_1-4
0,문A2-8)학습비 외부 지원여부-(1)학위취득을 위한 교육-3,0,0,0
0,0,0,0,문B3-13)자격증 취득가능여부 - 2-(3)직업능력향상교육
0,0,문B3-11)프로그램 불만족 요인(중복응답)-2-(1)성인기초 및 문자해득교육_5,0,0
문A2-11) 프로그램 불만족 요인(중복응답)__(3)직업능력향상교육_2-1,문A2-11) 프로그램 불만족 요인(중복응답)__(3)직업능력향상교육_2-1,문A2-11) 프로그램 불만족 요인(중복응답)__(3)직업능력향상교육_2-1,문A2-11) 프로그램 불만족 요인(중복응답)__(3)직업능력향상교육_2-1,문A2-11) 프로그램 불만족 요인(중복응답)__(3)직업능력향상교육_2-1
문A2-11) 프로그램 불만족 요인(중복응답)__(3)직업능력향상교육_1-7,문A2-11) 프로그램 불만족 요인(중복응답)__(3)직업능력향상교육_1-7,문A2-11) 프로그램 불만족 요인(중복응답)__(3)직업능력향상교육_1-7,문A2-11) 프로그램 불만족 요인(중복응답)__(3)직업능력향상교육_1-7,0
문A2-11) 프로그램 불만족 요인(중복응답)__(3)직업능력향상교육_2-2,문A2-11) 프로그램 불만족 요인(중복응답)__(3)직업능력향상교육_2-2,문A2-11) 프로그램 불만족 요인(중복응답)__(3)직업능력향상교육_2-2,문A2-11) 프로그램 불만족 요인(중복응답)__(3)직업능력향상교육_2-2,문A2-11) 프로그램 불만족 요인(중복응답)__(3)직업능력향상교육_2-2
0,0,문B3-11)프로그램 불만족 요인(중복응답)-2-(1)성인기초 및 문자해득교육_6,0,0
문A2-11) 프로그램 불만족 요인(중복응답)__(3)직업능력향상교육_2-3,문A2-11) 프로그램 불만족 요인(중복응답)__(3)직업능력향상교육_2-3,문A2-11) 프로그램 불만족 요인(중복응답)__(3)직업능력향상교육_2-3,문A2-11) 프로그램 불만족 요인(중복응답)__(3)직업능력향상교육_2-3,문A2-11) 프로그램 불만족 요인(중복응답)__(3)직업능력향상교육_2-3
0,0,0,문B3-2)프로그램 과거수강경험 여부-2-(2)직업능력향상교육,0
문A2-11) 프로그램 불만족 요인(중복응답)__(3)직업능력향상교육_2-5,문A2-11) 프로그램 불만족 요인(중복응답)__(3)직업능력향상교육_2-5,문A2-11) 프로그램 불만족 요인(중복응답)__(3)직업능력향상교육_2-5,문A2-11) 프로그램 불만족 요인(중복응답)__(3)직업능력향상교육_2-5,문A2-11) 프로그램 불만족 요인(중복응답)__(3)직업능력향상교육_2-5
문A2-8) 학습비 외부 지원여부__(3)직업능력향상교육_1,문A2-8) 학습비 외부 지원여부__(3)직업능력향상교육_1,문A2-8) 학습비 외부 지원여부__(3)직업능력향상교육_1,문A2-8) 학습비 외부 지원여부__(3)직업능력향상교육_1,문A2-8) 학습비 외부 지원여부__(3)직업능력향상교육_1
0,문A2-9)학습비 외부 지원기관-(1)학위취득을 위한 교육-3,0,0,0
문A2-1) 프로그램 유형__(3)직업능력향상교육_3,문A2-1) 프로그램 유형__(3)직업능력향상교육_3,문A2-1) 프로그램 유형__(3)직업능력향상교육_3,문A2-1) 프로그램 유형__(3)직업능력향상교육_3,문A2-1) 프로그램 유형__(3)직업능력향상교육_3
0,0,0,0,문B3-2)프로그램 과거수강경험 여부 - 3-(3)직업능력향상교육
0,0,문B3-11)프로그램 불만족 요인(중복응답)-2-(1)성인기초 및 문자해득교육_7,0,0
문A2-2) 프로그램 형태__(3)직업능력향상교육_3,문A2-2) 프로그램 형태__(3)직업능력향상교육_3,문A2-2) 프로그램 형태__(3)직업능력향상교육_3,문A2-2) 프로그램 형태__(3)직업능력향상교육_3,문A2-2) 프로그램 형태__(3)직업능력향상교육_3
문A2-3) 기관 유형__(3)직업능력향상교육_2,문A2-3) 기관 유형__(3)직업능력향상교육_2,문A2-3) 기관 유형__(3)직업능력향상교육_2,문A2-3) 기관 유형__(3)직업능력향상교육_2,문A2-3) 기관 유형__(3)직업능력향상교육_2
0,0,문B3-1)프로그램 유형-3-(1)성인기초 및 문자해득교육,문B3-1)프로그램 유형-3-(1)성인기초 및 문자해득교육,0
문A2-5) 참여목적__(3)직업능력향상교육_3,문A2-5) 참여목적__(3)직업능력향상교육_3,문A2-5) 참여목적__(3)직업능력향상교육_3,문A2-5) 참여목적__(3)직업능력향상교육_3,문A2-5) 참여목적__(3)직업능력향상교육_3
0,0,0,문B3-7)중도 포기여부-2-(2)직업능력향상교육,0
0,0,0,0,문B3-7)중도 포기여부 - 3-(3)직업능력향상교육
0,문A2-10)프로그램만족도-(1)학위취득을 위한 교육-3,0,0,0
0,0,0,0,문B3-8)중도 포기이유 - 3-(3)직업능력향상교육
0,0,0,문B3-8)중도 포기이유-2-(2)직업능력향상교육,0
문A2-6) 연간참여시간__(3)직업능력향상교육_3,문A2-6) 연간참여시간__(3)직업능력향상교육_3,문A2-6) 연간참여시간__(3)직업능력향상교육_3,문A2-6) 연간참여시간__(3)직업능력향상교육_3,문A2-6) 연간참여시간__(3)직업능력향상교육_3
0,0,문B3-2)프로그램 형태-3-(1)성인기초 및 문자해득교육,0,0
문A2-7) 자기부담학습비__(3)직업능력향상교육_3,문A2-7) 자기부담학습비__(3)직업능력향상교육_3,문A2-7) 자기부담학습비__(3)직업능력향상교육_3,문A2-7) 자기부담학습비__(3)직업능력향상교육_3,문A2-7) 자기부담학습비__(3)직업능력향상교육_3
문A2-6) 연간참여시간__(3)직업능력향상교육_2,문A2-6) 연간참여시간__(3)직업능력향상교육_2,문A2-6) 연간참여시간__(3)직업능력향상교육_2,문A2-6) 연간참여시간__(3)직업능력향상교육_2,문A2-6) 연간참여시간__(3)직업능력향상교육_2
0,0,문B3-3)기관 유형-3-(1)성인기초 및 문자해득교육,0,0
문A2-9) 학습비 외부 지원기관__(3)직업능력향상교육_3,문A2-9) 학습비 외부 지원기관__(3)직업능력향상교육_3,문A2-9) 학습비 외부 지원기관__(3)직업능력향상교육_3,문A2-9) 학습비 외부 지원기관__(3)직업능력향상교육_3,문A2-9) 학습비 외부 지원기관__(3)직업능력향상교육_3
0,0,0,0,문B3-12)학습비 지원기관(중복응답) - 3-(3)직업능력향상교육_2
0,문A2-11)프로그램 불만족 요인(중복응답)-(1)학위취득을 위한 교육-3_1,0,0,0
0,0,0,0,문B3-12)학습비 지원기관(중복응답) - 3-(3)직업능력향상교육_3
0,0,0,0,문B3-12)학습비 지원기관(중복응답) - 3-(3)직업능력향상교육_4
0,0,문B3-5)참여목적-3-(1)성인기초 및 문자해득교육,0,0
0,0,0,0,문B3-13)자격증 취득가능여부 - 3-(3)직업능력향상교육
0,0,0,문B3-13)자격증 취득가능여부-2-(2)직업능력향상교육,0
문A2-10) 프로그램만족도__(3)직업능력향상교육_3,문A2-10) 프로그램만족도__(3)직업능력향상교육_3,문A2-10) 프로그램만족도__(3)직업능력향상교육_3,문A2-10) 프로그램만족도__(3)직업능력향상교육_3,문A2-10) 프로그램만족도__(3)직업능력향상교육_3
0,0,문B3-6)연간참여시간-3-(1)성인기초 및 문자해득교육,0,0
문A2-11) 프로그램 불만족 요인(중복응답)__(3)직업능력향상교육_3-1,문A2-11) 프로그램 불만족 요인(중복응답)__(3)직업능력향상교육_3-1,문A2-11) 프로그램 불만족 요인(중복응답)__(3)직업능력향상교육_3-1,문A2-11) 프로그램 불만족 요인(중복응답)__(3)직업능력향상교육_3-1,문A2-11) 프로그램 불만족 요인(중복응답)__(3)직업능력향상교육_3-1
문A2-10) 프로그램만족도__(3)직업능력향상교육_2,문A2-10) 프로그램만족도__(3)직업능력향상교육_2,문A2-10) 프로그램만족도__(3)직업능력향상교육_2,문A2-10) 프로그램만족도__(3)직업능력향상교육_2,문A2-10) 프로그램만족도__(3)직업능력향상교육_2
0,문A2-11)프로그램 불만족 요인(중복응답)-(1)학위취득을 위한 교육-3_2,0,0,0
문A2-11) 프로그램 불만족 요인(중복응답)__(3)직업능력향상교육_3-4,문A2-11) 프로그램 불만족 요인(중복응답)__(3)직업능력향상교육_3-4,문A2-11) 프로그램 불만족 요인(중복응답)__(3)직업능력향상교육_3-4,문A2-11) 프로그램 불만족 요인(중복응답)__(3)직업능력향상교육_3-4,문A2-11) 프로그램 불만족 요인(중복응답)__(3)직업능력향상교육_3-4
0,0,문B3-7)자기부담학습비-3-(1)성인기초 및 문자해득교육,0,0
문A2-11) 프로그램 불만족 요인(중복응답)__(3)직업능력향상교육_3-6,문A2-11) 프로그램 불만족 요인(중복응답)__(3)직업능력향상교육_3-6,문A2-11) 프로그램 불만족 요인(중복응답)__(3)직업능력향상교육_3-6,문A2-11) 프로그램 불만족 요인(중복응답)__(3)직업능력향상교육_3-6,문A2-11) 프로그램 불만족 요인(중복응답)__(3)직업능력향상교육_3-6
0,0,문B3-8)학습비 외부 지원여부-3-(1)성인기초 및 문자해득교육,0,0
0,0,0,0,문B3-2)프로그램 과거수강경험 여부 - 1-(4)인문교양교육
문A2-11) 프로그램 불만족 요인(중복응답)__(3)직업능력향상교육_2-4,문A2-11) 프로그램 불만족 요인(중복응답)__(3)직업능력향상교육_2-4,문A2-11) 프로그램 불만족 요인(중복응답)__(3)직업능력향상교육_2-4,문A2-11) 프로그램 불만족 요인(중복응답)__(3)직업능력향상교육_2-4,문A2-11) 프로그램 불만족 요인(중복응답)__(3)직업능력향상교육_2-4
0,문A2-11)프로그램 불만족 요인(중복응답)-(1)학위취득을 위한 교육-3_3,0,0,0
문A2-3) 기관 유형__(4)인문교양교육_1,문A2-3) 기관 유형__(4)인문교양교육_1,문A2-3) 기관 유형__(4)인문교양교육_1,문A2-3) 기관 유형__(4)인문교양교육_1,문A2-3) 기관 유형__(4)인문교양교육_1
문A2-11) 프로그램 불만족 요인(중복응답)__(3)직업능력향상교육_2-6,문A2-11) 프로그램 불만족 요인(중복응답)__(3)직업능력향상교육_2-6,문A2-11) 프로그램 불만족 요인(중복응답)__(3)직업능력향상교육_2-6,문A2-11) 프로그램 불만족 요인(중복응답)__(3)직업능력향상교육_2-6,문A2-11) 프로그램 불만족 요인(중복응답)__(3)직업능력향상교육_2-6
0,0,문B3-9)학습비 지원기관-3-(1)성인기초 및 문자해득교육,0,0
0,0,0,0,문B3-7)중도 포기여부 - 1-(4)인문교양교육
문A2-11) 프로그램 불만족 요인(중복응답)__(3)직업능력향상교육_2-7,문A2-11) 프로그램 불만족 요인(중복응답)__(3)직업능력향상교육_2-7,문A2-11) 프로그램 불만족 요인(중복응답)__(3)직업능력향상교육_2-7,문A2-11) 프로그램 불만족 요인(중복응답)__(3)직업능력향상교육_2-7,0
0,0,0,0,문B3-8)중도 포기이유 - 1-(4)인문교양교육
0,0,문B3-10)프로그램 만족도-3-(1)성인기초 및 문자해득교육,0,0
문A2-6) 연간참여시간__(4)인문교양교육_1,문A2-6) 연간참여시간__(4)인문교양교육_1,문A2-6) 연간참여시간__(4)인문교양교육_1,문A2-6) 연간참여시간__(4)인문교양교육_1,문A2-6) 연간참여시간__(4)인문교양교육_1
0,0,0,문B3-2)프로그램 과거수강경험 여부-3-(2)직업능력향상교육,0
문A2-8) 학습비 외부 지원여부__(4)인문교양교육_1,문A2-8) 학습비 외부 지원여부__(4)인문교양교육_1,문A2-8) 학습비 외부 지원여부__(4)인문교양교육_1,문A2-8) 학습비 외부 지원여부__(4)인문교양교육_1,문A2-8) 학습비 외부 지원여부__(4)인문교양교육_1
0,문A2-11)프로그램 불만족 요인(중복응답)-(1)학위취득을 위한 교육-3_4,0,0,0
문A2-9) 학습비 외부 지원기관__(4)인문교양교육_1,문A2-9) 학습비 외부 지원기관__(4)인문교양교육_1,문A2-9) 학습비 외부 지원기관__(4)인문교양교육_1,문A2-9) 학습비 외부 지원기관__(4)인문교양교육_1,문A2-9) 학습비 외부 지원기관__(4)인문교양교육_1
0,0,0,0,문B3-12)학습비 지원기관(중복응답) - 1-(4)인문교양교육_2
0,0,문B3-11)프로그램 불만족 요인(중복응답)-3-(1)성인기초 및 문자해득교육_1,0,0
0,0,0,0,문B3-12)학습비 지원기관(중복응답) - 1-(4)인문교양교육_3
0,0,0,0,문B3-12)학습비 지원기관(중복응답) - 1-(4)인문교양교육_4
문A2-3) 기관 유형__(3)직업능력향상교육_3,문A2-3) 기관 유형__(3)직업능력향상교육_3,문A2-3) 기관 유형__(3)직업능력향상교육_3,문A2-3) 기관 유형__(3)직업능력향상교육_3,문A2-3) 기관 유형__(3)직업능력향상교육_3
0,0,문B3-11)프로그램 불만족 요인(중복응답)-3-(1)성인기초 및 문자해득교육_2,0,0
0,0,0,0,문B3-13)자격증 취득가능여부 - 1-(4)인문교양교육
0,0,0,문B3-7)중도 포기여부-3-(2)직업능력향상교육,0
문A2-11) 프로그램 불만족 요인(중복응답)__(4)인문교양교육_1-1,문A2-11) 프로그램 불만족 요인(중복응답)__(4)인문교양교육_1-1,문A2-11) 프로그램 불만족 요인(중복응답)__(4)인문교양교육_1-1,문A2-11) 프로그램 불만족 요인(중복응답)__(4)인문교양교육_1-1,문A2-11) 프로그램 불만족 요인(중복응답)__(4)인문교양교육_1-1
0,문A2-11)프로그램 불만족 요인(중복응답)-(1)학위취득을 위한 교육-3_5,0,0,0
문A2-11) 프로그램 불만족 요인(중복응답)__(4)인문교양교육_1-2,문A2-11) 프로그램 불만족 요인(중복응답)__(4)인문교양교육_1-2,문A2-11) 프로그램 불만족 요인(중복응답)__(4)인문교양교육_1-2,문A2-11) 프로그램 불만족 요인(중복응답)__(4)인문교양교육_1-2,문A2-11) 프로그램 불만족 요인(중복응답)__(4)인문교양교육_1-2
0,0,0,문B3-8)중도 포기이유-3-(2)직업능력향상교육,0
문A2-11) 프로그램 불만족 요인(중복응답)__(4)인문교양교육_1-3,문A2-11) 프로그램 불만족 요인(중복응답)__(4)인문교양교육_1-3,문A2-11) 프로그램 불만족 요인(중복응답)__(4)인문교양교육_1-3,문A2-11) 프로그램 불만족 요인(중복응답)__(4)인문교양교육_1-3,문A2-11) 프로그램 불만족 요인(중복응답)__(4)인문교양교육_1-3
0,0,문B3-11)프로그램 불만족 요인(중복응답)-3-(1)성인기초 및 문자해득교육_3,0,0
문A2-11) 프로그램 불만족 요인(중복응답)__(4)인문교양교육_1-4,문A2-11) 프로그램 불만족 요인(중복응답)__(4)인문교양교육_1-4,문A2-11) 프로그램 불만족 요인(중복응답)__(4)인문교양교육_1-4,문A2-11) 프로그램 불만족 요인(중복응답)__(4)인문교양교육_1-4,문A2-11) 프로그램 불만족 요인(중복응답)__(4)인문교양교육_1-4
0,0,문B3-11)프로그램 불만족 요인(중복응답)-3-(1)성인기초 및 문자해득교육_4,0,0
문A2-11) 프로그램 불만족 요인(중복응답)__(4)인문교양교육_1-6,문A2-11) 프로그램 불만족 요인(중복응답)__(4)인문교양교육_1-6,문A2-11) 프로그램 불만족 요인(중복응답)__(4)인문교양교육_1-6,문A2-11) 프로그램 불만족 요인(중복응답)__(4)인문교양교육_1-6,문A2-11) 프로그램 불만족 요인(중복응답)__(4)인문교양교육_1-6
0,0,0,0,문B3-2)프로그램 과거수강경험 여부 - 2-(4)인문교양교육
0,문A2-11)프로그램 불만족 요인(중복응답)-(1)학위취득을 위한 교육-3_6,0,0,0
문A2-2) 프로그램 형태__(4)인문교양교육_2,문A2-2) 프로그램 형태__(4)인문교양교육_2,문A2-2) 프로그램 형태__(4)인문교양교육_2,문A2-2) 프로그램 형태__(4)인문교양교육_2,문A2-2) 프로그램 형태__(4)인문교양교육_2
0,0,문B3-11)프로그램 불만족 요인(중복응답)-3-(1)성인기초 및 문자해득교육_5,0,0
문A2-5) 참여목적__(4)인문교양교육_2,문A2-5) 참여목적__(4)인문교양교육_2,문A2-5) 참여목적__(4)인문교양교육_2,문A2-5) 참여목적__(4)인문교양교육_2,문A2-5) 참여목적__(4)인문교양교육_2
0,0,0,문B3-13)자격증 취득가능여부-3-(2)직업능력향상교육,0
0,0,0,0,문B3-7)중도 포기여부 - 2-(4)인문교양교육
0,0,문B3-11)프로그램 불만족 요인(중복응답)-3-(1)성인기초 및 문자해득교육_6,0,0
0,0,0,0,문B3-8)중도 포기이유 - 2-(4)인문교양교육
0,문A2-11)프로그램 불만족 요인(중복응답)-(1)학위취득을 위한 교육-3_7,0,0,0
문A2-7) 자기부담학습비__(4)인문교양교육_2,문A2-7) 자기부담학습비__(4)인문교양교육_2,문A2-7) 자기부담학습비__(4)인문교양교육_2,문A2-7) 자기부담학습비__(4)인문교양교육_2,문A2-7) 자기부담학습비__(4)인문교양교육_2
문A2-11) 프로그램 불만족 요인(중복응답)__(3)직업능력향상교육_3-2,문A2-11) 프로그램 불만족 요인(중복응답)__(3)직업능력향상교육_3-2,문A2-11) 프로그램 불만족 요인(중복응답)__(3)직업능력향상교육_3-2,문A2-11) 프로그램 불만족 요인(중복응답)__(3)직업능력향상교육_3-2,문A2-11) 프로그램 불만족 요인(중복응답)__(3)직업능력향상교육_3-2
0,0,문B3-11)프로그램 불만족 요인(중복응답)-3-(1)성인기초 및 문자해득교육_7,0,0
문A2-9) 학습비 외부 지원기관__(4)인문교양교육_2,문A2-9) 학습비 외부 지원기관__(4)인문교양교육_2,문A2-9) 학습비 외부 지원기관__(4)인문교양교육_2,문A2-9) 학습비 외부 지원기관__(4)인문교양교육_2,문A2-9) 학습비 외부 지원기관__(4)인문교양교육_2
0,0,0,0,문B3-12)학습비 지원기관(중복응답) - 2-(4)인문교양교육_2
문A2-11) 프로그램 불만족 요인(중복응답)__(3)직업능력향상교육_3-3,문A2-11) 프로그램 불만족 요인(중복응답)__(3)직업능력향상교육_3-3,문A2-11) 프로그램 불만족 요인(중복응답)__(3)직업능력향상교육_3-3,문A2-11) 프로그램 불만족 요인(중복응답)__(3)직업능력향상교육_3-3,문A2-11) 프로그램 불만족 요인(중복응답)__(3)직업능력향상교육_3-3
0,0,0,0,문B3-12)학습비 지원기관(중복응답) - 2-(4)인문교양교육_3
0,0,0,문B3-2)프로그램 과거수강경험 여부-1-(3)인문교양교육,0
0,0,0,0,문B3-12)학습비 지원기관(중복응답) - 2-(4)인문교양교육_4
0,0,0,0,문B3-13)자격증 취득가능여부 - 2-(4)인문교양교육
문A2-8) 학습비 외부 지원여부__(3)직업능력향상교육_2,문A2-8) 학습비 외부 지원여부__(3)직업능력향상교육_2,문A2-8) 학습비 외부 지원여부__(3)직업능력향상교육_2,문A2-8) 학습비 외부 지원여부__(3)직업능력향상교육_2,문A2-8) 학습비 외부 지원여부__(3)직업능력향상교육_2
0,0,0,문B3-7)중도 포기여부-1-(3)인문교양교육,0
문A2-10) 프로그램만족도__(4)인문교양교육_2,문A2-10) 프로그램만족도__(4)인문교양교육_2,문A2-10) 프로그램만족도__(4)인문교양교육_2,문A2-10) 프로그램만족도__(4)인문교양교육_2,문A2-10) 프로그램만족도__(4)인문교양교육_2
0,0,0,문B3-8)중도 포기이유-1-(3)인문교양교육,0
문A2-11) 프로그램 불만족 요인(중복응답)__(4)인문교양교육_2-1,문A2-11) 프로그램 불만족 요인(중복응답)__(4)인문교양교육_2-1,문A2-11) 프로그램 불만족 요인(중복응답)__(4)인문교양교육_2-1,문A2-11) 프로그램 불만족 요인(중복응답)__(4)인문교양교육_2-1,문A2-11) 프로그램 불만족 요인(중복응답)__(4)인문교양교육_2-1
0,0,0,문B3-10)자기부담학습비-1-(3)인문교양교육(무응답포함),0
문A2-11) 프로그램 불만족 요인(중복응답)__(4)인문교양교육_2-3,문A2-11) 프로그램 불만족 요인(중복응답)__(4)인문교양교육_2-3,문A2-11) 프로그램 불만족 요인(중복응답)__(4)인문교양교육_2-3,문A2-11) 프로그램 불만족 요인(중복응답)__(4)인문교양교육_2-3,문A2-11) 프로그램 불만족 요인(중복응답)__(4)인문교양교육_2-3
0,0,0,문B3-10)자기부담학습비-1-(3)인문교양교육(무응답대체후),0
문A2-11) 프로그램 불만족 요인(중복응답)__(4)인문교양교육_2-4,문A2-11) 프로그램 불만족 요인(중복응답)__(4)인문교양교육_2-4,문A2-11) 프로그램 불만족 요인(중복응답)__(4)인문교양교육_2-4,문A2-11) 프로그램 불만족 요인(중복응답)__(4)인문교양교육_2-4,문A2-11) 프로그램 불만족 요인(중복응답)__(4)인문교양교육_2-4
0,0,0,문B3-13)자격증 취득가능여부-1-(3)인문교양교육,0
문A2-11) 프로그램 불만족 요인(중복응답)__(4)인문교양교육_2-6,문A2-11) 프로그램 불만족 요인(중복응답)__(4)인문교양교육_2-6,문A2-11) 프로그램 불만족 요인(중복응답)__(4)인문교양교육_2-6,문A2-11) 프로그램 불만족 요인(중복응답)__(4)인문교양교육_2-6,문A2-11) 프로그램 불만족 요인(중복응답)__(4)인문교양교육_2-6
문A2-8) 학습비 외부 지원여부__(3)직업능력향상교육_3,문A2-8) 학습비 외부 지원여부__(3)직업능력향상교육_3,문A2-8) 학습비 외부 지원여부__(3)직업능력향상교육_3,문A2-8) 학습비 외부 지원여부__(3)직업능력향상교육_3,문A2-8) 학습비 외부 지원여부__(3)직업능력향상교육_3
0,0,0,문B3-2)프로그램 과거수강경험 여부-2-(3)인문교양교육,0
0,0,0,0,문B3-2)프로그램 과거수강경험 여부 - 3-(4)인문교양교육
0,0,0,문B3-7)중도 포기여부-2-(3)인문교양교육,0
문A2-5) 참여목적__(4)인문교양교육_3,문A2-5) 참여목적__(4)인문교양교육_3,문A2-5) 참여목적__(4)인문교양교육_3,문A2-5) 참여목적__(4)인문교양교육_3,문A2-5) 참여목적__(4)인문교양교육_3
0,0,0,0,문B3-7)중도 포기여부 - 3-(4)인문교양교육
문A2-11) 프로그램 불만족 요인(중복응답)__(3)직업능력향상교육_3-5,문A2-11) 프로그램 불만족 요인(중복응답)__(3)직업능력향상교육_3-5,문A2-11) 프로그램 불만족 요인(중복응답)__(3)직업능력향상교육_3-5,문A2-11) 프로그램 불만족 요인(중복응답)__(3)직업능력향상교육_3-5,문A2-11) 프로그램 불만족 요인(중복응답)__(3)직업능력향상교육_3-5
0,0,0,문B3-8)중도 포기이유-2-(3)인문교양교육,0
0,0,0,0,문B3-8)중도 포기이유 - 3-(4)인문교양교육
0,0,0,문B3-9)연간참여시간-2-(3)인문교양교육,0
문A2-7) 자기부담학습비__(4)인문교양교육_3,문A2-7) 자기부담학습비__(4)인문교양교육_3,문A2-7) 자기부담학습비__(4)인문교양교육_3,문A2-7) 자기부담학습비__(4)인문교양교육_3,문A2-7) 자기부담학습비__(4)인문교양교육_3
문A2-11) 프로그램 불만족 요인(중복응답)__(3)직업능력향상교육_3-7,문A2-11) 프로그램 불만족 요인(중복응답)__(3)직업능력향상교육_3-7,문A2-11) 프로그램 불만족 요인(중복응답)__(3)직업능력향상교육_3-7,문A2-11) 프로그램 불만족 요인(중복응답)__(3)직업능력향상교육_3-7,0
문A2-8) 학습비 외부 지원여부__(4)인문교양교육_3,문A2-8) 학습비 외부 지원여부__(4)인문교양교육_3,문A2-8) 학습비 외부 지원여부__(4)인문교양교육_3,문A2-8) 학습비 외부 지원여부__(4)인문교양교육_3,문A2-8) 학습비 외부 지원여부__(4)인문교양교육_3
문A2-1) 프로그램 유형__(3)직업능력향상교육_4,문A2-1) 프로그램 유형__(3)직업능력향상교육_4,0,0,0
