,Features_2022,Features_2021,Features_2020,Features_2019,Features_2018
296,0,0,0,문B3-7)중도 포기여부-3-(1)성인기초 및 문자해득교육,0
297,0,0,0,0,문B3-12)학습비 지원기관(중복응답) - 3-(2)성인기초 및 문자해득교육_2
298,0,0,0,0,문B3-12)학습비 지원기관(중복응답) - 3-(2)성인기초 및 문자해득교육_3
299,문A2-5) 참여목적__(2)성인기초 및 문자해득교육_1,문A2-5) 참여목적__(2)성인기초 및 문자해득교육_1,문A2-5) 참여목적__(2)성인기초 및 문자해득교육_1,문A2-5) 참여목적__(2)성인기초 및 문자해득교육_1,문A2-5) 참여목적__(2)성인기초 및 문자해득교육_1
300,0,문A2-2)프로그램 형태-(1)학위취득을 위한 교육-2,0,0,0
301,0,0,0,0,문B3-12)학습비 지원기관(중복응답) - 3-(2)성인기초 및 문자해득교육_4
302,0,0,0,문B3-8)중도 포기이유-3-(1)성인기초 및 문자해득교육,0
303,0,0,0,0,문B3-13)자격증 취득가능여부 - 3-(2)성인기초 및 문자해득교육
304,0,0,0,문B3-9)연간참여시간-3-(1)성인기초 및 문자해득교육,0
305,0,0,0,0,문B3-14)프로그램 만족도 - 3-(2)성인기초 및 문자해득교육
306,문A1-1) 작년(21.01.01~21.12.31)에 OO프로그램에 참여한 경험이 있습니까? 19) 외국어강좌,0,0,0,0
307,0,0,0,0,문B3-15)프로그램 불만족 요인 - 3-(2)성인기초 및 문자해득교육_1
308,0,0,0,문B3-10)자기부담학습비-3-(1)성인기초 및 문자해득교육,0
309,0,0,0,0,문B3-15)프로그램 불만족 요인 - 3-(2)성인기초 및 문자해득교육_2
310,0,0,0,문B3-11)학습비 외부 지원여부-3-(1)성인기초 및 문자해득교육,0
311,0,0,0,0,문B3-15)프로그램 불만족 요인 - 3-(2)성인기초 및 문자해득교육_3
312,0,문A2-3)기관 유형-(1)학위취득을 위한 교육-2,0,0,0
313,0,0,0,0,문B3-15)프로그램 불만족 요인 - 3-(2)성인기초 및 문자해득교육_4
314,0,0,0,문B3-12)학습비 지원기관-3-(1)성인기초 및 문자해득교육,0
315,0,0,0,0,문B3-15)프로그램 불만족 요인 - 3-(2)성인기초 및 문자해득교육_5
316,0,0,0,문B3-13)자격증 취득가능여부-3-(1)성인기초 및 문자해득교육,0
317,0,0,0,0,문B3-15)프로그램 불만족 요인 - 3-(2)성인기초 및 문자해득교육_6
318,문A1-1) 작년(21.01.01~21.12.31)에 OO프로그램에 참여한 경험이 있습니까? 20) 컴퓨터강좌,0,0,0,0
319,문A2-1) 프로그램 유형__(3)직업능력향상교육_1,문A2-1) 프로그램 유형__(3)직업능력향상교육_1,문A2-1) 프로그램 유형__(3)직업능력향상교육_1,문A2-1) 프로그램 유형__(3)직업능력향상교육_1,문A2-1) 프로그램 유형__(3)직업능력향상교육_1
320,0,0,0,문B3-14)프로그램 만족도-3-(1)성인기초 및 문자해득교육,0
321,0,0,0,0,문B3-2)프로그램 과거수강경험 여부 - 1-(3)직업능력향상교육
322,0,0,0,문B3-15)프로그램 불만족 요인-3 -(1)성인기초 및 문자해득교육_1,0
323,문A2-2) 프로그램 형태__(3)직업능력향상교육_1,문A2-2) 프로그램 형태__(3)직업능력향상교육_1,문A2-2) 프로그램 형태__(3)직업능력향상교육_1,문A2-2) 프로그램 형태__(3)직업능력향상교육_1,문A2-2) 프로그램 형태__(3)직업능력향상교육_1
324,0,문A2-5)참여목적-(1)학위취득을 위한 교육-2,0,0,0
325,문A2-3) 기관 유형__(3)직업능력향상교육_1,문A2-3) 기관 유형__(3)직업능력향상교육_1,문A2-3) 기관 유형__(3)직업능력향상교육_1,문A2-3) 기관 유형__(3)직업능력향상교육_1,문A2-3) 기관 유형__(3)직업능력향상교육_1
326,0,0,0,문B3-15)프로그램 불만족 요인-3 -(1)성인기초 및 문자해득교육_2,0
327,문A2-5) 참여목적__(3)직업능력향상교육_1,문A2-5) 참여목적__(3)직업능력향상교육_1,문A2-5) 참여목적__(3)직업능력향상교육_1,문A2-5) 참여목적__(3)직업능력향상교육_1,문A2-5) 참여목적__(3)직업능력향상교육_1
328,0,0,0,문B3-15)프로그램 불만족 요인-3 -(1)성인기초 및 문자해득교육_3,0
329,0,0,0,0,문B3-7)중도 포기여부 - 1-(3)직업능력향상교육
330,문A1-1) 작년(21.01.01~21.12.31)에 OO프로그램에 참여한 경험이 있습니까? 21) 종교교육강좌,0,0,0,0
331,0,0,0,0,문B3-8)중도 포기이유 - 1-(3)직업능력향상교육
332,0,0,0,문B3-15)프로그램 불만족 요인-3 -(1)성인기초 및 문자해득교육_4,0
333,문A2-6) 연간참여시간__(3)직업능력향상교육_1,문A2-6) 연간참여시간__(3)직업능력향상교육_1,문A2-6) 연간참여시간__(3)직업능력향상교육_1,문A2-6) 연간참여시간__(3)직업능력향상교육_1,문A2-6) 연간참여시간__(3)직업능력향상교육_1
334,0,0,0,문B3-15)프로그램 불만족 요인-3 -(1)성인기초 및 문자해득교육_5,0
335,문A2-7) 자기부담학습비__(3)직업능력향상교육_1,문A2-7) 자기부담학습비__(3)직업능력향상교육_1,문A2-7) 자기부담학습비__(3)직업능력향상교육_1,문A2-7) 자기부담학습비__(3)직업능력향상교육_1,문A2-7) 자기부담학습비__(3)직업능력향상교육_1
336,0,문A2-6)연간참여시간-(1)학위취득을 위한 교육-2,0,0,0
337,문A2-8) 학습비 외부 지원여부__(3)직업능력향상교육_1,문A2-8) 학습비 외부 지원여부__(3)직업능력향상교육_1,문A2-8) 학습비 외부 지원여부__(3)직업능력향상교육_1,문A2-8) 학습비 외부 지원여부__(3)직업능력향상교육_1,문A2-8) 학습비 외부 지원여부__(3)직업능력향상교육_1
338,0,0,0,문B3-15)프로그램 불만족 요인-3 -(1)성인기초 및 문자해득교육_6,0
339,문A2-9) 학습비 외부 지원기관__(3)직업능력향상교육_1,문A2-9) 학습비 외부 지원기관__(3)직업능력향상교육_1,문A2-9) 학습비 외부 지원기관__(3)직업능력향상교육_1,문A2-9) 학습비 외부 지원기관__(3)직업능력향상교육_1,문A2-9) 학습비 외부 지원기관__(3)직업능력향상교육_1
340,0,0,0,문B3-15)프로그램 불만족 요인-3 -(1)성인기초 및 문자해득교육_7,0
341,0,0,0,0,문B3-12)학습비 지원기관(중복응답) - 1-(3)직업능력향상교육_2
342,문A1-1) 작년(21.01.01~21.12.31)에 OO프로그램에 참여한 경험이 있습니까? 22) 인문교양강좌,0,0,0,0
343,0,0,0,0,문B3-12)학습비 지원기관(중복응답) - 1-(3)직업능력향상교육_3
344,0,0,0,0,문B3-12)학습비 지원기관(중복응답) - 1-(3)직업능력향상교육_4
345,0,0,0,문B3-2)프로그램 과거수강경험 여부-1-(2)직업능력향상교육,0
346,0,0,0,0,문B3-13)자격증 취득가능여부 - 1-(3)직업능력향상교육
347,0,문A2-7)자기부담학습비-(1)학위취득을 위한 교육-2,0,0,0
348,문A2-10) 프로그램만족도__(3)직업능력향상교육_1,문A2-10) 프로그램만족도__(3)직업능력향상교육_1,문A2-10) 프로그램만족도__(3)직업능력향상교육_1,문A2-10) 프로그램만족도__(3)직업능력향상교육_1,문A2-10) 프로그램만족도__(3)직업능력향상교육_1
349,문A1-1) 작년(21.01.01~21.12.31)에 OO프로그램에 참여한 경험이 있습니까? 23) 가정생활강좌,0,0,0,0
350,문A2-11) 프로그램 불만족 요인(중복응답)__(3)직업능력향상교육_1-2,문A2-11) 프로그램 불만족 요인(중복응답)__(3)직업능력향상교육_1-2,문A2-11) 프로그램 불만족 요인(중복응답)__(3)직업능력향상교육_1-2,문A2-11) 프로그램 불만족 요인(중복응답)__(3)직업능력향상교육_1-2,문A2-11) 프로그램 불만족 요인(중복응답)__(3)직업능력향상교육_1-2
351,0,0,0,문B3-7)중도 포기여부-1-(2)직업능력향상교육,0
352,문A2-11) 프로그램 불만족 요인(중복응답)__(3)직업능력향상교육_1-4,문A2-11) 프로그램 불만족 요인(중복응답)__(3)직업능력향상교육_1-4,문A2-11) 프로그램 불만족 요인(중복응답)__(3)직업능력향상교육_1-4,문A2-11) 프로그램 불만족 요인(중복응답)__(3)직업능력향상교육_1-4,문A2-11) 프로그램 불만족 요인(중복응답)__(3)직업능력향상교육_1-4
353,0,문A2-8)학습비 외부 지원여부-(1)학위취득을 위한 교육-2,0,0,0
354,문A2-11) 프로그램 불만족 요인(중복응답)__(3)직업능력향상교육_1-5,문A2-11) 프로그램 불만족 요인(중복응답)__(3)직업능력향상교육_1-5,문A2-11) 프로그램 불만족 요인(중복응답)__(3)직업능력향상교육_1-5,문A2-11) 프로그램 불만족 요인(중복응답)__(3)직업능력향상교육_1-5,문A2-11) 프로그램 불만족 요인(중복응답)__(3)직업능력향상교육_1-5
355,0,0,0,문B3-8)중도 포기이유-1-(2)직업능력향상교육,0
356,문A2-11) 프로그램 불만족 요인(중복응답)__(3)직업능력향상교육_1-6,문A2-11) 프로그램 불만족 요인(중복응답)__(3)직업능력향상교육_1-6,문A2-11) 프로그램 불만족 요인(중복응답)__(3)직업능력향상교육_1-6,문A2-11) 프로그램 불만족 요인(중복응답)__(3)직업능력향상교육_1-6,문A2-11) 프로그램 불만족 요인(중복응답)__(3)직업능력향상교육_1-6
357,0,0,0,문B3-9)연간참여시간-1-(2)직업능력향상교육(무응답포함),0
358,문A2-1) 프로그램 유형__(3)직업능력향상교육_2,문A2-1) 프로그램 유형__(3)직업능력향상교육_2,문A2-1) 프로그램 유형__(3)직업능력향상교육_2,문A2-1) 프로그램 유형__(3)직업능력향상교육_2,문A2-1) 프로그램 유형__(3)직업능력향상교육_2
359,문A1-1) 작년(21.01.01~21.12.31)에 OO프로그램에 참여한 경험이 있습니까? 24) 건강 및 의료강좌,0,0,0,0
360,0,0,0,0,문B3-2)프로그램 과거수강경험 여부 - 2-(3)직업능력향상교육
361,0,0,0,문B3-10)자기부담학습비-1-(2)직업능력향상교육(무응답포함),0
362,문A2-3) 기관 유형__(3)직업능력향상교육_2,문A2-3) 기관 유형__(3)직업능력향상교육_2,문A2-3) 기관 유형__(3)직업능력향상교육_2,문A2-3) 기관 유형__(3)직업능력향상교육_2,문A2-3) 기관 유형__(3)직업능력향상교육_2
363,0,문A2-9)학습비 외부 지원기관-(1)학위취득을 위한 교육-2,0,0,0
364,문A2-5) 참여목적__(3)직업능력향상교육_2,문A2-5) 참여목적__(3)직업능력향상교육_2,문A2-5) 참여목적__(3)직업능력향상교육_2,문A2-5) 참여목적__(3)직업능력향상교육_2,문A2-5) 참여목적__(3)직업능력향상교육_2
365,0,0,0,0,문B3-7)중도 포기여부 - 2-(3)직업능력향상교육
366,문A1-1) 작년(21.01.01~21.12.31)에 OO프로그램에 참여한 경험이 있습니까? 25) 음악강좌,0,0,0,0
367,0,0,0,0,문B3-8)중도 포기이유 - 2-(3)직업능력향상교육
368,0,0,문B3-2)프로그램 형태-2-(1)성인기초 및 문자해득교육,0,0
369,문A2-7) 자기부담학습비__(3)직업능력향상교육_2,문A2-7) 자기부담학습비__(3)직업능력향상교육_2,문A2-7) 자기부담학습비__(3)직업능력향상교육_2,문A2-7) 자기부담학습비__(3)직업능력향상교육_2,문A2-7) 자기부담학습비__(3)직업능력향상교육_2
370,0,0,0,문B3-13)자격증 취득가능여부-1-(2)직업능력향상교육,0
371,문A2-8) 학습비 외부 지원여부__(3)직업능력향상교육_2,문A2-8) 학습비 외부 지원여부__(3)직업능력향상교육_2,문A2-8) 학습비 외부 지원여부__(3)직업능력향상교육_2,문A2-8) 학습비 외부 지원여부__(3)직업능력향상교육_2,문A2-8) 학습비 외부 지원여부__(3)직업능력향상교육_2
372,0,문A2-10)프로그램만족도-(1)학위취득을 위한 교육-2,0,0,0
373,문A2-9) 학습비 외부 지원기관__(3)직업능력향상교육_2,문A2-9) 학습비 외부 지원기관__(3)직업능력향상교육_2,문A2-9) 학습비 외부 지원기관__(3)직업능력향상교육_2,문A2-9) 학습비 외부 지원기관__(3)직업능력향상교육_2,문A2-9) 학습비 외부 지원기관__(3)직업능력향상교육_2
374,0,0,0,0,문B3-12)학습비 지원기관(중복응답) - 2-(3)직업능력향상교육_2
375,0,0,문B3-3)기관 유형-2-(1)성인기초 및 문자해득교육,0,0
376,0,0,0,0,문B3-12)학습비 지원기관(중복응답) - 2-(3)직업능력향상교육_3
377,0,0,0,0,문B3-12)학습비 지원기관(중복응답) - 2-(3)직업능력향상교육_4
378,문A2-11) 프로그램 불만족 요인(중복응답)__(3)직업능력향상교육_1-1,문A2-11) 프로그램 불만족 요인(중복응답)__(3)직업능력향상교육_1-1,문A2-11) 프로그램 불만족 요인(중복응답)__(3)직업능력향상교육_1-1,문A2-11) 프로그램 불만족 요인(중복응답)__(3)직업능력향상교육_1-1,문A2-11) 프로그램 불만족 요인(중복응답)__(3)직업능력향상교육_1-1
379,문A1-1) 작년(21.01.01~21.12.31)에 OO프로그램에 참여한 경험이 있습니까? 26) 미술강좌,0,0,0,0
380,0,0,0,0,문B3-13)자격증 취득가능여부 - 2-(3)직업능력향상교육
381,0,0,문B3-5)참여목적-2-(1)성인기초 및 문자해득교육,0,0
382,문A2-11) 프로그램 불만족 요인(중복응답)__(3)직업능력향상교육_2-1,문A2-11) 프로그램 불만족 요인(중복응답)__(3)직업능력향상교육_2-1,문A2-11) 프로그램 불만족 요인(중복응답)__(3)직업능력향상교육_2-1,문A2-11) 프로그램 불만족 요인(중복응답)__(3)직업능력향상교육_2-1,문A2-11) 프로그램 불만족 요인(중복응답)__(3)직업능력향상교육_2-1
383,문A2-11) 프로그램 불만족 요인(중복응답)__(3)직업능력향상교육_1-3,문A2-11) 프로그램 불만족 요인(중복응답)__(3)직업능력향상교육_1-3,문A2-11) 프로그램 불만족 요인(중복응답)__(3)직업능력향상교육_1-3,문A2-11) 프로그램 불만족 요인(중복응답)__(3)직업능력향상교육_1-3,문A2-11) 프로그램 불만족 요인(중복응답)__(3)직업능력향상교육_1-3
384,0,문A2-11)프로그램 불만족 요인(중복응답)-(1)학위취득을 위한 교육-2_1,0,0,0
385,문A2-11) 프로그램 불만족 요인(중복응답)__(3)직업능력향상교육_2-3,문A2-11) 프로그램 불만족 요인(중복응답)__(3)직업능력향상교육_2-3,문A2-11) 프로그램 불만족 요인(중복응답)__(3)직업능력향상교육_2-3,문A2-11) 프로그램 불만족 요인(중복응답)__(3)직업능력향상교육_2-3,문A2-11) 프로그램 불만족 요인(중복응답)__(3)직업능력향상교육_2-3
386,0,0,문B3-6)연간참여시간-2-(1)성인기초 및 문자해득교육,0,0
387,문A2-11) 프로그램 불만족 요인(중복응답)__(3)직업능력향상교육_2-5,문A2-11) 프로그램 불만족 요인(중복응답)__(3)직업능력향상교육_2-5,문A2-11) 프로그램 불만족 요인(중복응답)__(3)직업능력향상교육_2-5,문A2-11) 프로그램 불만족 요인(중복응답)__(3)직업능력향상교육_2-5,문A2-11) 프로그램 불만족 요인(중복응답)__(3)직업능력향상교육_2-5
388,문A1-1) 작년(21.01.01~21.12.31)에 OO프로그램에 참여한 경험이 있습니까? 27) 스포츠강좌,0,0,0,0
389,문A2-1) 프로그램 유형__(3)직업능력향상교육_3,문A2-1) 프로그램 유형__(3)직업능력향상교육_3,문A2-1) 프로그램 유형__(3)직업능력향상교육_3,문A2-1) 프로그램 유형__(3)직업능력향상교육_3,문A2-1) 프로그램 유형__(3)직업능력향상교육_3
390,0,0,0,0,문B3-2)프로그램 과거수강경험 여부 - 3-(3)직업능력향상교육
391,0,0,문B3-7)자기부담학습비-2-(1)성인기초 및 문자해득교육,0,0
392,문A2-2) 프로그램 형태__(3)직업능력향상교육_3,문A2-2) 프로그램 형태__(3)직업능력향상교육_3,문A2-2) 프로그램 형태__(3)직업능력향상교육_3,문A2-2) 프로그램 형태__(3)직업능력향상교육_3,문A2-2) 프로그램 형태__(3)직업능력향상교육_3
393,문A2-11) 프로그램 불만족 요인(중복응답)__(3)직업능력향상교육_1-7,문A2-11) 프로그램 불만족 요인(중복응답)__(3)직업능력향상교육_1-7,문A2-11) 프로그램 불만족 요인(중복응답)__(3)직업능력향상교육_1-7,문A2-11) 프로그램 불만족 요인(중복응답)__(3)직업능력향상교육_1-7,0
394,문A2-3) 기관 유형__(3)직업능력향상교육_3,문A2-3) 기관 유형__(3)직업능력향상교육_3,문A2-3) 기관 유형__(3)직업능력향상교육_3,문A2-3) 기관 유형__(3)직업능력향상교육_3,문A2-3) 기관 유형__(3)직업능력향상교육_3
395,0,문A2-11)프로그램 불만족 요인(중복응답)-(1)학위취득을 위한 교육-2_2,0,0,0
396,문A2-5) 참여목적__(3)직업능력향상교육_3,문A2-5) 참여목적__(3)직업능력향상교육_3,문A2-5) 참여목적__(3)직업능력향상교육_3,문A2-5) 참여목적__(3)직업능력향상교육_3,문A2-5) 참여목적__(3)직업능력향상교육_3
397,0,0,0,0,문B3-7)중도 포기여부 - 3-(3)직업능력향상교육
398,0,0,문B3-8)학습비 외부 지원여부-2-(1)성인기초 및 문자해득교육,0,0
399,0,0,0,0,문B3-8)중도 포기이유 - 3-(3)직업능력향상교육
400,0,0,0,문B3-2)프로그램 과거수강경험 여부-2-(2)직업능력향상교육,0
401,문A2-6) 연간참여시간__(3)직업능력향상교육_3,문A2-6) 연간참여시간__(3)직업능력향상교육_3,문A2-6) 연간참여시간__(3)직업능력향상교육_3,문A2-6) 연간참여시간__(3)직업능력향상교육_3,문A2-6) 연간참여시간__(3)직업능력향상교육_3
402,문A1-1) 작년(21.01.01~21.12.31)에 OO프로그램에 참여한 경험이 있습니까? 28) 지도자과정,0,0,0,0
403,문A2-7) 자기부담학습비__(3)직업능력향상교육_3,문A2-7) 자기부담학습비__(3)직업능력향상교육_3,문A2-7) 자기부담학습비__(3)직업능력향상교육_3,문A2-7) 자기부담학습비__(3)직업능력향상교육_3,문A2-7) 자기부담학습비__(3)직업능력향상교육_3
404,문A2-2) 프로그램 형태__(3)직업능력향상교육_2,문A2-2) 프로그램 형태__(3)직업능력향상교육_2,문A2-2) 프로그램 형태__(3)직업능력향상교육_2,문A2-2) 프로그램 형태__(3)직업능력향상교육_2,문A2-2) 프로그램 형태__(3)직업능력향상교육_2
405,0,0,문B3-9)학습비 지원기관-2-(1)성인기초 및 문자해득교육,0,0
406,문A2-9) 학습비 외부 지원기관__(3)직업능력향상교육_3,문A2-9) 학습비 외부 지원기관__(3)직업능력향상교육_3,문A2-9) 학습비 외부 지원기관__(3)직업능력향상교육_3,문A2-9) 학습비 외부 지원기관__(3)직업능력향상교육_3,문A2-9) 학습비 외부 지원기관__(3)직업능력향상교육_3
407,0,0,0,0,문B3-12)학습비 지원기관(중복응답) - 3-(3)직업능력향상교육_2
408,0,문A2-11)프로그램 불만족 요인(중복응답)-(1)학위취득을 위한 교육-2_3,0,0,0
409,0,0,0,0,문B3-12)학습비 지원기관(중복응답) - 3-(3)직업능력향상교육_3
410,0,0,0,0,문B3-12)학습비 지원기관(중복응답) - 3-(3)직업능력향상교육_4
411,0,0,문B3-10)프로그램 만족도-2-(1)성인기초 및 문자해득교육,0,0
412,0,0,0,0,문B3-13)자격증 취득가능여부 - 3-(3)직업능력향상교육
413,0,0,0,문B3-7)중도 포기여부-2-(2)직업능력향상교육,0
414,문A2-10) 프로그램만족도__(3)직업능력향상교육_3,문A2-10) 프로그램만족도__(3)직업능력향상교육_3,문A2-10) 프로그램만족도__(3)직업능력향상교육_3,문A2-10) 프로그램만족도__(3)직업능력향상교육_3,문A2-10) 프로그램만족도__(3)직업능력향상교육_3
415,문A1-1) 작년(21.01.01~21.12.31)에 OO프로그램에 참여한 경험이 있습니까? 29) 시민참여교육강좌,0,0,0,0
416,문A2-11) 프로그램 불만족 요인(중복응답)__(3)직업능력향상교육_3-1,문A2-11) 프로그램 불만족 요인(중복응답)__(3)직업능력향상교육_3-1,문A2-11) 프로그램 불만족 요인(중복응답)__(3)직업능력향상교육_3-1,문A2-11) 프로그램 불만족 요인(중복응답)__(3)직업능력향상교육_3-1,문A2-11) 프로그램 불만족 요인(중복응답)__(3)직업능력향상교육_3-1
417,0,0,0,문B3-8)중도 포기이유-2-(2)직업능력향상교육,0
418,문A2-11) 프로그램 불만족 요인(중복응답)__(3)직업능력향상교육_3-2,문A2-11) 프로그램 불만족 요인(중복응답)__(3)직업능력향상교육_3-2,문A2-11) 프로그램 불만족 요인(중복응답)__(3)직업능력향상교육_3-2,문A2-11) 프로그램 불만족 요인(중복응답)__(3)직업능력향상교육_3-2,문A2-11) 프로그램 불만족 요인(중복응답)__(3)직업능력향상교육_3-2
419,0,0,문B3-11)프로그램 불만족 요인(중복응답)-2-(1)성인기초 및 문자해득교육_1,0,0
420,문A2-11) 프로그램 불만족 요인(중복응답)__(3)직업능력향상교육_3-3,문A2-11) 프로그램 불만족 요인(중복응답)__(3)직업능력향상교육_3-3,문A2-11) 프로그램 불만족 요인(중복응답)__(3)직업능력향상교육_3-3,문A2-11) 프로그램 불만족 요인(중복응답)__(3)직업능력향상교육_3-3,문A2-11) 프로그램 불만족 요인(중복응답)__(3)직업능력향상교육_3-3
421,문A2-6) 연간참여시간__(3)직업능력향상교육_2,문A2-6) 연간참여시간__(3)직업능력향상교육_2,문A2-6) 연간참여시간__(3)직업능력향상교육_2,문A2-6) 연간참여시간__(3)직업능력향상교육_2,문A2-6) 연간참여시간__(3)직업능력향상교육_2
422,0,문A2-11)프로그램 불만족 요인(중복응답)-(1)학위취득을 위한 교육-2_4,0,0,0
423,문A2-11) 프로그램 불만족 요인(중복응답)__(3)직업능력향상교육_3-5,문A2-11) 프로그램 불만족 요인(중복응답)__(3)직업능력향상교육_3-5,문A2-11) 프로그램 불만족 요인(중복응답)__(3)직업능력향상교육_3-5,문A2-11) 프로그램 불만족 요인(중복응답)__(3)직업능력향상교육_3-5,문A2-11) 프로그램 불만족 요인(중복응답)__(3)직업능력향상교육_3-5
424,0,0,문B3-11)프로그램 불만족 요인(중복응답)-2-(1)성인기초 및 문자해득교육_2,0,0
425,문A2-1) 프로그램 유형__(4)인문교양교육_1,문A2-1) 프로그램 유형__(4)인문교양교육_1,문A2-1) 프로그램 유형__(4)인문교양교육_1,문A2-1) 프로그램 유형__(4)인문교양교육_1,문A2-1) 프로그램 유형__(4)인문교양교육_1
426,0,0,0,0,문B3-2)프로그램 과거수강경험 여부 - 1-(4)인문교양교육
427,문A1-1) 작년(21.01.01~21.12.31)에 OO프로그램에 참여한 경험이 있습니까? 30) 환경생태 강좌,0,0,0,0
428,문A2-2) 프로그램 형태__(4)인문교양교육_1,문A2-2) 프로그램 형태__(4)인문교양교육_1,문A2-2) 프로그램 형태__(4)인문교양교육_1,문A2-2) 프로그램 형태__(4)인문교양교육_1,문A2-2) 프로그램 형태__(4)인문교양교육_1
429,0,0,문B3-11)프로그램 불만족 요인(중복응답)-2-(1)성인기초 및 문자해득교육_3,0,0
430,문A2-5) 참여목적__(4)인문교양교육_1,문A2-5) 참여목적__(4)인문교양교육_1,문A2-5) 참여목적__(4)인문교양교육_1,문A2-5) 참여목적__(4)인문교양교육_1,문A2-5) 참여목적__(4)인문교양교육_1
431,0,0,0,문B3-13)자격증 취득가능여부-2-(2)직업능력향상교육,0
432,0,0,0,0,문B3-7)중도 포기여부 - 1-(4)인문교양교육
433,0,문A2-11)프로그램 불만족 요인(중복응답)-(1)학위취득을 위한 교육-2_5,0,0,0
434,0,0,0,0,문B3-8)중도 포기이유 - 1-(4)인문교양교육
435,문A2-10) 프로그램만족도__(3)직업능력향상교육_2,문A2-10) 프로그램만족도__(3)직업능력향상교육_2,문A2-10) 프로그램만족도__(3)직업능력향상교육_2,문A2-10) 프로그램만족도__(3)직업능력향상교육_2,문A2-10) 프로그램만족도__(3)직업능력향상교육_2
436,0,0,문B3-11)프로그램 불만족 요인(중복응답)-2-(1)성인기초 및 문자해득교육_4,0,0
437,문A2-7) 자기부담학습비__(4)인문교양교육_1,문A2-7) 자기부담학습비__(4)인문교양교육_1,문A2-7) 자기부담학습비__(4)인문교양교육_1,0,문A2-7) 자기부담학습비__(4)인문교양교육_1
438,문A1-2) OO프로그램에 참여한 경험이 있다면^ 참여한 프로그램 수는 몇개입니까? 1) 초등학교 졸업학력(인정)과정,0,0,0,0
439,문A2-9) 학습비 외부 지원기관__(4)인문교양교육_1,문A2-9) 학습비 외부 지원기관__(4)인문교양교육_1,문A2-9) 학습비 외부 지원기관__(4)인문교양교육_1,문A2-9) 학습비 외부 지원기관__(4)인문교양교육_1,문A2-9) 학습비 외부 지원기관__(4)인문교양교육_1
440,0,0,0,0,문B3-12)학습비 지원기관(중복응답) - 1-(4)인문교양교육_2
441,문A2-11) 프로그램 불만족 요인(중복응답)__(3)직업능력향상교육_2-2,문A2-11) 프로그램 불만족 요인(중복응답)__(3)직업능력향상교육_2-2,문A2-11) 프로그램 불만족 요인(중복응답)__(3)직업능력향상교육_2-2,문A2-11) 프로그램 불만족 요인(중복응답)__(3)직업능력향상교육_2-2,문A2-11) 프로그램 불만족 요인(중복응답)__(3)직업능력향상교육_2-2
442,0,0,문B3-11)프로그램 불만족 요인(중복응답)-2-(1)성인기초 및 문자해득교육_5,0,0
443,0,0,0,0,문B3-12)학습비 지원기관(중복응답) - 1-(4)인문교양교육_3
444,0,0,0,0,문B3-12)학습비 지원기관(중복응답) - 1-(4)인문교양교육_4
445,0,문A2-11)프로그램 불만족 요인(중복응답)-(1)학위취득을 위한 교육-2_6,0,0,0
446,0,0,0,0,문B3-13)자격증 취득가능여부 - 1-(4)인문교양교육
447,문A2-11) 프로그램 불만족 요인(중복응답)__(3)직업능력향상교육_2-4,문A2-11) 프로그램 불만족 요인(중복응답)__(3)직업능력향상교육_2-4,문A2-11) 프로그램 불만족 요인(중복응답)__(3)직업능력향상교육_2-4,문A2-11) 프로그램 불만족 요인(중복응답)__(3)직업능력향상교육_2-4,문A2-11) 프로그램 불만족 요인(중복응답)__(3)직업능력향상교육_2-4
448,0,0,문B3-11)프로그램 불만족 요인(중복응답)-2-(1)성인기초 및 문자해득교육_6,0,0
449,문A2-11) 프로그램 불만족 요인(중복응답)__(4)인문교양교육_1-1,문A2-11) 프로그램 불만족 요인(중복응답)__(4)인문교양교육_1-1,문A2-11) 프로그램 불만족 요인(중복응답)__(4)인문교양교육_1-1,문A2-11) 프로그램 불만족 요인(중복응답)__(4)인문교양교육_1-1,문A2-11) 프로그램 불만족 요인(중복응답)__(4)인문교양교육_1-1
450,문A1-2) OO프로그램에 참여한 경험이 있다면^ 참여한 프로그램 수는 몇개입니까? 2) 중학교 졸업학력(인정)과정,0,0,0,0
451,문A2-11) 프로그램 불만족 요인(중복응답)__(4)인문교양교육_1-3,문A2-11) 프로그램 불만족 요인(중복응답)__(4)인문교양교육_1-3,문A2-11) 프로그램 불만족 요인(중복응답)__(4)인문교양교육_1-3,문A2-11) 프로그램 불만족 요인(중복응답)__(4)인문교양교육_1-3,문A2-11) 프로그램 불만족 요인(중복응답)__(4)인문교양교육_1-3
452,문A2-11) 프로그램 불만족 요인(중복응답)__(3)직업능력향상교육_2-6,문A2-11) 프로그램 불만족 요인(중복응답)__(3)직업능력향상교육_2-6,문A2-11) 프로그램 불만족 요인(중복응답)__(3)직업능력향상교육_2-6,문A2-11) 프로그램 불만족 요인(중복응답)__(3)직업능력향상교육_2-6,문A2-11) 프로그램 불만족 요인(중복응답)__(3)직업능력향상교육_2-6
453,0,0,문B3-11)프로그램 불만족 요인(중복응답)-2-(1)성인기초 및 문자해득교육_7,0,0
