"작성자","평점","좋아요","댓글수","리뷰"
"손영규","4.5","4","0","영원하지 않다고 해서, 무참히 무너졌다고 해서 아름답지 않은 것은 아니다."
"존중도취향따라","4.0","4","0","다가오는 죽음 속에서 삶을 반추하는 아이러니들. 아름다운 죽음은 없지만 아름다운 삶은 분명히 존재한다. 흐름을 지켜보는 것만으로 의식을 생의 분기점으로 옮겨놓는 본격 생사체험영화."
"권윤정","4.5","4","0","사랑에 대한 반추."
"제리종호","3.0","4","0","나에게는 그 어떤 영화보다 어려웠다 메시지도 그렇고 졸음 참는 것도 그렇고"
"나는아름다운갈비","5.0","4","0","지독한 사랑,고요하고 서늘하다."
"uiyeon","4.5","3","0","내게 나답게 죽을 수 있는 행운이 있을까
시간이 우리에게서 앗아가는 것들에 대하여.."
"찐빵만두","4.5","3","0","함부로 말할 수 없는, 정적이 가장 잘 어울리는 영화."
"강넥호","4.0","3","1","처연한 작별로 완성된 사랑"
"아영","5.0","3","0","사랑 앞에서 한없이 약하고 한없이 강한, 인간의 삶과 죽음에 대한 영화."
"HK","4.0","3","0","아름다운 공포 영화"
"JackQKwag","5.0","3","0","집이라는 감옥 그리고 그것보다 더 좁은 육체라는 감옥."
"리키","4.0","3","0","연기가 예술입니다"
"포스트말론브란도","5.0","3","0","조용한 화면처럼 또 영화 내 그랬던것 처럼.
쏟아지진 않아도 내내 넘쳐흐르는 눈물을 참느라 힘들었습니다.
꽃을 자르는 장면에서 숨을 참느라 많이 힘들었습니다.
황혼을 보고 있자면 그 친구가 많이 생각이 납니다.
색이 옅어질 그림엔 항상 함께였으니까요.
여러가지 생각이 깊어지는 영화였고
너무 좋았습니다."
"신재원","5.0","3","0","비둘기처럼 언제 어디서든 자신이 원하는곳을 날아다닐수 있기에 비둘기 사진을 놓아둔거고, 비둘기를 잡아둔 이유는 날아다니지 못하게 잡아두웠지만, 그러기엔 자유를 얻지 못하는것 같아서 그냥 풀어줬네. 그리고 세상을 떠난 아내와 함께 비둘기처럼 떠나가버렸구만.... 정말 최고의 영화다 진짜"
"Heenema","4.5","3","0","나의 세월과 나란히 유영할 작품"
"오세린","4.5","3","0","죽음 앞에 무너지는 존엄
죽음 앞에 세워지는 사랑"
"황지현","5.0","3","0","고통 속에서 존엄성을 찾으려면 사랑과 연민이 있어야해요. 그게 가장 어려워요. 사랑은 어려운 것이잖아요. 모두에게 주어진 것이 아니죠.
-미카엘 하네케"
"수진","4.5","3","0","삶이라는 고통을 지켜보는 고통에 대하여."
"빼액종우","3.0","3","0","애써 부정하려던 것들이 눈 앞에 닥친 순간의 포착. 스멀스멀 다가오는 절망감이 기분 나쁘다."
"정현","4.5","3","0","우리는 왜 이렇게나 끔찍한 종말을 맞이해야 하는가"
"김영철","4.5","3","0","미화하지 않은 슬픔에 관하여...어떤 것들은 너무 아파 눈물조차 나오지 않는다."
"성제준","4.5","3","0","변증은 없다. 인간의 실존은 선택하고 불안에 떨 뿐이다."
"임돌선","4.5","3","0","숨이 탁 막힐 정도의 하나의 이미지, 이 하나가 아직까지도 기억에 남아 마음을 후벼놓는다."
"누누","4.5","3","0","'홀로' 나이드는 건 정말 무서운 일이야"
"adela","3.5","3","0","늙고 죽는건 너무 두려우니 적당히 살다가 그냥 사라지고 싶다"
"최현진","4.0","3","0","감히 내가 무어라 말할 수조차 없을, 사랑의 고결하고도 숭고한 경지."
"달밤에그림자를쫓다","5.0","3","0","어느날, 나는 관객들에게 최악의 공연을 선사하게 됐다. 너무도 짙은 색의 나는 내일도, 그 다음날도 무대에 서게 됐다. 하지만 엉망인 무대 위에 선 나는 더욱 난장판인 무대를 보게 되었다. 나는 너무도 수치스러워 매일 발버둥쳤다. 내 몸이 썪고 나의 목소리가 사라져가도, 나는 계속 무대 위에 섰다. 결국 커튼마저 쓰러진 순간, 이 세상엔 관념과 육체를 모두 초월한, 그저 한 톨의 ‘먼지’가 홀로 텅 빈 무대 위를 장식하게 됐다. 우리의 음악이 원하던건 결국 이런 것이었나보다."
"붉은별","보고싶어요","3","0","아껴둘거야. 조금 더 나이가 먹은 뒤에 봐야지"
"이재훈","4.0","3","0","""그 시간""이 다가 오는 거에 대한 고요함을 무너뜨릴 수 없다면"
"여름에 Yunha Hwang","4.0","3","0","엄마와 함께 보면서, 너무 몰입하지 않기위해 애썼다. 고요했고, 끝이났고, 우리는 많은 말을 잇지 못했다."
"손재수","3.5","3","1","2018.2.4.
언젠간 누구나 겪어야할 인생여정, 피할수도 피해지지도 않는 삶의 모습, 매일을 연습하 듯 생각하고 다져야한다. 생노병사의 그 위대한 자연의섭리를 어쩌겠는가? 받아들이고 품위있게 새로운 세계로 접어드는 연습을 끊임없이 해야한다. 아무르!"
"김홍서","4.0","3","0","노년은 죽어가는 사람과 죽어가는 사람을 바라보는 것 2가지의 선택 밖에 없는건가. 아무리 인생이 죽어가는 것 이라지만, 인생의 목적은 인생을 잘 마무리 하는것이라고 지식인들은 멋있게 이야기를 하지만, 똑바로 봐라. 잘 마무리하는게 무엇이며, 죽음앞에 '잘' 이라는 말이 얼마나 잔인한 말인지"
"동주","4.0","3","0","아무렇지 않게 넌 내게 말했지
날 위해 죽을 수도, 죽일 수도 있다고."
"김진철","1.0","3","0","개인적으로 리얼리티 영화를 좋아한다. 하지만 너무 뻔한 전개와 지루한 흐름은 싫다. 알츠하이머에 걸린 할머니와 그 남편의 마지막에 관한 영화다. 이미 여기서 모든 게 끝난 것 같다."
"moviemon94","5.0","3","0","조용히 눈물이 흐르기 시작하더니 결국에는 눈물샘이 폭발한다"
"공중정원","4.5","3","0","죽음보다는 노화 그 자체가 두렵다."
"Moviedreamer","5.0","3","0","조르주는 아내의 끊임없는 고통에도 죽음이라는 것을 마주하는 것을 피하려한다. 하지만 결국, 영문없이 집 안에 들어온 비둘기(죽음)을 끌어안듯, 도둑처럼 찾아온 죽음을 받아들이게 된다."
"cecile","3.5","3","0","노년 부부의 마지막을 이렇게나 담담히 그린 영화가 또 있을까. 사실 이 영화를 이해하기에 내가 너무나 어린 것일지도 모르겠다. 부디 우리 부모님이 떠나가기 전에 내가 그들 곁에서 최선을 다했으면, 이라는 어쩌면 가장 단순한 생각이 영화 보는 내내 들었다."
"김로","4.0","3","1","차라리 미라를 선택하는 그 사랑,
강하게 있으려는 노인의 종교적이라 해도 좋을 확신 
  
  
* 어느 날 아내의 마비 증세를 확인한 조르주. 수도꼭지를 잠그는 것을 잊을 정도로 놀랐지만, 그의 움직임에 속도감은 느껴지지 않는다. 갑작스런 병에 걸리고 수술도 실패한 그녀도 그녀지만, 조르주 역시 만만치 않게 죽음을 가까이 하고 있다. 
 오프닝 시퀀스 직후, 음악회를 관람하는 노인들의 모습이 나온다. 정작 무대의 주인공인 연주자는 카메라 밖으로 밀려나와 있다. 노인들은 관객들 사이에서 희미한 존재감만을 지닌 채 앉아 있다. 이 영화는 이미 배경으로 밀려난, 스포트라이트를 받기 힘든 사람들의 이야기를 하고 있다. 
 음악회에서 돌아온 그들은 집에 도둑이 든 것을 알아챈다. 안느는 자고 있을 때 도둑이 들 경우를 상상하며 두려워한다. 조르주는 도둑맞은 물건을 찾기보다 고장난 문을 고치는 데 열중이다. 죽음을 가까이 하고 있는 이들은 이미 육체적으로 노쇠하여 외부세계의, 자신들 보다 활기찬 모든 것들을 향해 두려움을 품고 있다. 
 
 그래도 그들은 강하게 있으려고 한다. 안느는 수술도 실패했으며, 아주 간단하거나 생리적인 동작까지 타인에게 의지해야 한다. 어쩌다 휠체어에서 떨어지면 그대로 꼼짝없이 있어야 하는 처지이다. 그러나 그녀는 당당하다. 스스로 불구가 아니라고 말하거나 필요한 것을 적극적으로 요청한다. 아마 죽음이 더 가까이 온 것이 실감이 나서 허세를 부리는 것이 아닌가 싶다. 조르주는 그런 허세에 공감한다. 그들의 사랑과 유대감에는 죽음에 관한 공감이 크게 기여하고 있을 것이다.  
 
 (스포일러)
 
 영화의 결말, 조르주는 중대한 결단을 내린다. 결단을 내린 이유가 조르주가 육체적으로 힘들었기 때문일까? 개인적으로 생각하기에, 그것이 주된 이유는 아닌 것 같다. 애초에 힘들었으면 안느를 병원에 보내면 됐다. 하지만 병원이란 곳은 어떤 공간인가. 죽음 앞에서 강하게 있고 싶은 안느의 바람과 대척되는 장소이다. 절대 병원에는 보내지 말라는 안느의 대사와, 복지사와의 대화에서 조르주가 가만히 누워서 저항도 못하고 도움을 받는다고 생각해보라고 말한 것에는 연관점이 있다. 
 
 그렇다고 해도 '아프다'나 '집'에 관한 어절만 중얼거리는, 제정신이 아니라 해도 좋을 안느를 죽인 조르주의 판단은 과격하게 보이기도 한다. 세월이 만들어 낸 것인가? 안느를 향한 그의 확신은 거의 종교적이라 해도 좋다. 지금의 상태보다 과거의 약속이나 조르주 본인이 느낀 안느의 성격에 더욱 무게를 싣는다. 지금보다 과거의 것들을 토대로 판단하는 것이 노인들의 특징일지도 모르겠다.  
 이 결말은 죽음 앞에 강하게 있으려는 의지와 병원에 가기 싫다는 약속, 보호만 받으며 삶의 주도권을 뺏기기 싫다는 성격에 대한 굉장히 사적인 존중이다. 죽음이라는 실존적 문제를 뛰어넘은 일종의 플라토닉 러브이다. 동시에 조르주가 다가오는 죽음에 저항하려는 자기 의지의 발현이기도 할 것이다.
 이후 집은 서서히 장례식장이 되어간다. 조르주는 장례라는 의식을 통해 죽음이라는 실존적 고뇌에 작별을 고할 수 있다고 생각하는 것 같다. 장례는 그 나름의 방식으로 정성껏 준비된다. 장례를 준비하면서 조르주는 비둘기 한 마리를 잡는다. 이전에 실내에서 비둘기를 마주했을 때, 그는 비둘기를 쫓아내느라 바빴고, 비둘기가 나가자마자 창문을 걸어 닫았다. 그러나 이번에는 포획에 성공했다. 안느에게 쓰는 편지에도 생각보다 쉬웠다고 허세까지 부린다. 거기에 다잡은 비둘기를 방생하는 여유도 보인다. 사랑에 확신을 가지고, 죽음의 문제를 초월한 그는 외부 세계의 대상을 마주하면서도 강하게 있을 수 있게 되었다. 닫혔던 창문은 하나 둘 씩 열리기 시작한다. 마침내 조르주는 안느와 함께 집 밖으로 외출을 나간다. 단순히 그가 자유로워 졌다는 암시일까? 아니면 그 역시 죽음을 택한다는 암시일까? 알 수는 없지만, 한 가지 확실한 것은 이제 그가 배경에서 주체로 다시 자리매김했다는 것이다.      
 
 사실 이 영화는 암시가 너무 강해 주제가 머릿속에서 금방 정리되고, 전개까지 떠올라 버린다는 단점이 있다. 어디까지나 뇌피셜에 불과하지만 위에서 언급한 음악회 장면에서 배경으로 치우친 인물을 다룬다는 것이 떠올랐고, 즐거웠던 시절을 묘사하지 않았다는 점에서 삶과 죽음 사이의 문제가 아닌, 죽음을 어떻게 받아들일까에 대한 영화라는 것이 느껴졌다 (<업>의 회상신 같은 것을 넣으면 영화의 주제와 미학이 흐려질 것이다). 안느를 보필하는 시퀀스가 무척 길다는 것이나, 전반부에 나온 조르주가 옛날에 봤다는 영화에 관한 이야기도 노골적이다. 조르주가 하는 캠프 이야기를 듣고 안느가 진정하는 장면에서는, 곧 그녀를 죽일 것이라는 직감이 들기도 했다 (여담으로 이 영화에서 병원은 어린 시절의 가기 싫은 캠프 같은 것이다. 외부 세력에 행동을 제약받는 그런 공간이다). 이런 짙은 암시성이 이 주관적인 영화에 숙명적인 분위기를 실어준다. 하지만 이 분위기 역시 최종적으로는 미카엘 하네케의 주관에 힘을 실어주는 기능을 한다. 나는 자기 주관을 강하게 어필하는, 냉혹할 정도로 사적인 영화를 좋아한다."
"김담","0.5","3","0","영화 속 인물에 대해 조금의 존중도, 애정도 없다."
"머빻킹","0.5","3","0","엿먹어라 하네케 이 씹새끼가"
"hsm1025","5.0","3","0","세월 앞에서 사랑이.."
"현정","5.0","3","0","저들은 이미 내 나이를 거쳐간지 오래, 어리고 깊이없는 내가 저들의 사랑을 이해할 수나 있을까."
"차양선","4.5","3","0","몇년을 아껴놨다 본 영화. 조금 더 많이 아껴놓을 걸 그랬다."
"이윤근","3.5","3","0","죽음으로 사랑을 얘기하다...
사랑에 대한... 낯설고 외면하고픈 모습..."
"지다달","4.0","3","0","저릿한 마음을 추스려주지 않고 품에서 홀연히 떠나버리는 세월"
"송씨네","4.5","3","0","나이든다는 것, 늙는다는 것, 병든다는 것... 그 모든게 슬프게 다가오는 이야기입니다. 실제 여든의 배우들이 보여주는 실감나는 이야기가 인상적입니다."
"이형일","3.5","3","0","예고된 비극,무력하고 비참한 삶.감독은 시종 부부의 삶을 관조하고 있을 뿐. 인생은 생의 달콤함과 저주같은 생의 참담함까지 내포되있다 그래서 제목은 사랑보다 '산다'가 어울린다"
"아라","5.0","3","0","왜 노인에 관한 영화라고만 생각하는지 모르겠다"
"이주진","4.0","3","1","손 끝의 차가움이 되레 가슴을 태우는 진귀한 경험. 
깊게 들이 마쉬는 한줌의 냉정한 뜨거움"
"이명선","4.5","3","0","처음 봤을땐 피하고싶은 짜증스러움이었지만 두번째 봤을땐 할아버지와 할머니와 딸 모두 이해가 되어 더 먹먹해지는 영화"
"보정","3.0","3","0","보기드문, 감상주의를 피해가는
죽음과 사랑에 대한 영화"
"Hyehyun Lee","4.5","3","0","그냥 죽게 해달란 대사가 어찌나 사무치는지. 노년의 사랑이 더 아름답다."
"리리리","4.5","3","0","상당수의 관객은 이 영화가 어떻게 끝나게 될지 알고 있다. 익숙한 흐름의 대사가 나오는 그 장면에 다다르면 이미 끔찍함으로 마음이 가득 차 있을 것이다. 시적인 고문 포르노."
"박나리","3.0","3","0","아직은.. 힘겨운 영화."
"김경민","4.0","3","0","별점 네개지만 재밌지 않다."
"김준호","3.5","3","0","죽음이 사랑을 방문할 때"
"Donghwan Kim","4.0","3","0","미치도록 느리고 지루한 영화. 그럼에도 긴장을 늦출 수 없는건 노년에 대한 나의 두려움이 묻어있기 때문이 아닐까"
"오이","4.5","3","0","이제 웰다잉(well-dying)에 대해 생각해볼 때! 지금도 어딘가에서 일어나는 일이기에 외면할 수 없는 죽음의 문턱."
"ye-s","3.5","3","0","그(들)만의 마지막 예우"
"세우너","5.0","2","0","우리의 과거이자 현재 그리고 미래"
"간지오백억","3.0","2","0","대사도 연기도 앵글도 더도 덜도 않고 알맞게 필요한 정도로만 편집이 되어진 것 같다. 한 편의 다큐멘터리를 보는 것 같았다. 안느가 점점 말라가고 피폐해져 가는 것을 정말 잘 표현했고, 조르쥬 또한 점점 지쳐가는 모습이 실제 같았다.

영화에서 던지는 화두는 이것이다. ‘과연 네가 조르쥬라면, 안느라면, 딸 에바라면 어떻게 할래?’

보면서 계속해서 나라면 어떤 선택을 했을까 고민이 들었다. 안느도 본인이 짐이 되고 싶어 하지 않았을 것이고 조르쥬도 계속해서 안느가 자연사할 때까지 함께하길 원했을 것이다. 하지만 상황은 점점 악화가 된다는 것이 정해져있고 서로에게 좋지 않은 방향성으로 흘러간다면 조르쥬의 선택이 손가락질만 받을 수는 없는 것이라는 생각이 들었다. 하지만 엄연한 살인 행위는 맞다고 생각한다. 본인이 감당하기 힘들었다면 시설에 보내는 것이 더 낫지 않았을까라는 생각도 든다. 그리고 중간 중간 딸이 등장한다. 하지만 정작 딸은 실질적인 해결책을 내놓기보다 본인의 감정을 쏟아내고 다시 돌아갈 뿐이다.

후반부에 조르쥬가 비둘기를 잡는 장면은 무엇을 의미한 것일까. 그리고 비둘기 잡은 이야기를 편지에 까지 썼다. 사실 잡아보니 별 것이 아니었다라는 말을 하는데 고민을 많이 했지만 사실 행동하는 그 순간이었을 뿐 어렵지 않았다는 것을 의미한다고 느껴졌다.
또한 주르쥬가 꽃을 사서 싱크대에 물을 받고 밑줄기를 자르는 것이 아니라 꽃을 잘라서 물 속에 떨어트린다. 이것은 조르쥬 또한 정신이 온전하지 못하는 것을 의미하는 것인지 의문이 들었다. 그리고 조르쥬는 상상을 하며 안느와 함께 외출하는 장면이 나온다. 이것은 조르쥬가 아내를 죽이고 본인도 죽음을 선택한다는 것을 안느를 따라갈 것이라는 것을 표현했다고 생각했다. 이 부분이 극단적인 선택을 하는 것을 보여주지 않고 영화적으로 표현했다는 것이 좋았다."
"濬澨","4.5","2","0","미카엘 하네케라는 작자, 정말 지독하고 못됐다.
어떻게 사람의 이런 순간들을 영화로 담아 만천하에 전시하나.
최악 같은 인생의 말로와 이루말할 수 없는 비참한 순간들을,
이런 순간들에 또 사랑이라는 이름을 붙이고,
정말 끔찍히도 잔인하기만.
영화가 끝나고나면 형언할 수 없는 기분이 된다.
끔찍하고, 끔찍하고, 끔찍하고, 끔찍하기만 하고, 몹시도 끔찍하고,
냉정하고 고요하기만 한 그 시퀀스들이 한뼘 더 원망스럽고"
"정희","4.5","2","0","이것이 우리 집에도 존재하는 이야기가 될 줄은 7년 전의 나는 꿈에도 몰랐다."
"뇨옹","3.5","2","2","글쎄 잘만든영화는 맞는데 감독의 생각은 모르겠듬요 이해는 되면서도.. 뭔가. 감독의 의도에 반대하고싶어져"
"배우진","1.5","2","0","단편 영화로도 충분했을 시놉시스에 도를 넘는 아이디어들을 욱여넣고 미학적인 연출을 방패 삼는다. 영화는 관객에게 현실성으로 둔갑한 과잉된 답답함을 경험시켜 종국에는 관객을 조르주와 다를 바 없는 나약한 인간의 위치로 끌어내린다. 그 답답함을 이끌어내는 과정의 한가운데에는, 안느가 입원하지 못하도록 ""약속해 줘""라는 대사를 부여한 후 정작 그 말의 속뜻은 영영 듣지 못하도록 그녀의 목소리를 지워버리는 또 다른 가학적인 설정이 자리잡고 있다. 조르주가 안느를 베개로 살해하는 광경을 아무런 우회 없이 롱테이크로 비추는 카메라 때문에라도, 내가 이 영화를 다시 돌아보는 일은 없을 것이다.

(살해 장면에서 그려지는 폭력이 사실은 조르주의 행동을 비판하는 반어적인 연출으로도 해석 가능하지 않겠느냐고 반문할 수 있다. 만약 정말로 그렇다면 피해자로서 희생되는 안느를 존중하는 태도를 드러내든지, 안느가 아무것도 할 수 없는 무기력하고 짜증나는 존재라는 묘사의 비중을 덜어 조르주의 선택에 정당성을 싣지 말든지 했어야 적절했을 것이다.)

영화는 한 술 더 떠서 〈아무르〉라는 숭고하기 그지없는 제목으로 인을 쳐서 부당한 질문으로 관객에게 무엇이 참된 사랑인지 생각해 보라는 듯 현혹시키기까지 한다. 말도 하지 못하는 아내를 고통에서 해방시키기 위해 극단적인 수단을 택하는 것이 우리가 모르고 있던 사랑의 역설적인 모습인가? 질문을 열어 두지 않고 닫힌 결론으로 관객의 감정을 스멀스멀 유도하는 듯한 태도가 의심스럽다. 관객이 자신도 모르는 새 그녀의 죽음을 기다리게 되도록 영화가 기만적인 공작을 펼친 건 아닌가? 백 번 양보하여 고찰의 주제 자체는 타당하다 할 수 있을지 모르지만, 그것을 제시하다 못해 설득시키려는 듯한 작법은 심히 잔인하다."
"나의사랑 나의영화","4.5","2","0","인생의 마지막에 어찌할 바 모른다면 그것이 가장 슬플 것이다. 도움과 도움받음은 최소의 인권이다."
"시네키드","4.0","2","0","사랑은 생각보다 어렵고, 사랑을 떠나보내는 일은 생각보다 쉽다."
"JM","4.5","2","0","나와 당신의 냄새가 지독하게 밴 낡고 익숙한 공간에서 매일 함께 먹고 떠들고 잠에 드는 노년을 상상합니다. 그런 상상은 내 젊은 사랑의 일과였어요.
나는 너무 쉽게 사랑하고 함부로 상상하는 사람.
다시. 당신과 함께 늙고 싶어요.
마땅히 열어두었지만 두려울 수밖에 없는 창문 앞에 서서, 비 내리는 창 그 안쪽 자리에 주저앉아서, 언젠가는 예기치 못하게 맞닥뜨려야했던 이별을 함께 부둥켜안고서
내쫓지 않고 되돌려보낼 수 있을 때까지.
그리고 그때의 밀폐된 우리에게
당신의 바이올린 연주와 내가 쓴 긴 편지들, 먼지 앉은 사진들과 둘이 외는 노래들, 바보 같은 미역국과 예쁘게 구워진 계란후라이 같은 흔하고 뻔한 것들이 많이도
많이도 있었으면 좋겠어요."
"도은","4.5","2","0","검버섯이 하나 하나 더 생길수록 지울 수 없는 추억의 반점이 온몸에 박히고, 그 검버섯의 색이 채 바래기도 전에 촛농이 흘러 굳어 없어지듯, 굳어 없어져 버린 누군가를 회상하는, 편벽 따윈 하지 못하는 남자의 비운의 사랑 일기."
"2022","4.5","2","0","사랑과 고통은 같은 모습으로 함께 찾아와 각기 다른 순간에 떠난다. 나란 모습으로 찾아든 탄생과 죽음이 그렇듯이."
"서엘라","보는 중","2","0","가끔 고약하지만, 정말 착해"
"김연석","4.0","2","0","지금은 두 분 다 고인이 되셨다니 삶과 죽음의 의미가 더욱 무겁게 다가온다"
"DC","4.5","2","0","창 안으로 어느새 들어오는 죽음을 막을 수는 없지만 그 주위에 사랑이라는 꽃을 수놓아줄 수는 있다"
"회장","4.0","2","0","영화보다 영화가 끝나고나서 ’내가 저런 상황이면 절대 집에서 간호하지 말고 요양원에 보내‘라고 말하던 엄마의 말에 더 눈물이 났다. 그런데 어떻게 그럴 수 있을까? 우린 서로 너무 사랑하는데"
"꿩꽝","5.0","2","0","엄마, 와 아파, 를 혼동하던 내가 기어이 당신의 비명을 헤아렸다. 그대 없는 집은 송장들의 종착지일 뿐 아무 의미가 없다."
"주아","4.0","2","0","""참 아름다워 삶은... 그리고 길다. 인생은 참 긴 것 같아.""

화려하고 총기 있던 젊은 시절을 지나서 시간이 그 모든걸 송두리 째 가져간 걸 깨달았을 때 지난한 세월을 절감하게 되나보다.

마음 속에 누군가의 삶이 적나라하게 그려진다. 그리고 그 누군가는 머지 않을 나의 생이 될 수도 있을 것이다. 그 점이 영화를 보는 이들의 심장을 무겁게 만드는 거 같다."
"영화부족민","4.0","2","0","나는 미하엘 하네케가 그의 영화 안에서 일관되게 만들어내는 종막의 관조적 카메라에 우선 손을 들어버리게 된다. 그것이 지식인의 자의식 과잉의 거리두기처럼 보이는 여지는 늘 남아있지만 그때의 서늘함은 서늘하지만은 않은 정념의 들끓음을 늘 한줌 이상 포함하고 있는데, 나는 그 정념이 내 마음에 만들어내는 생채기 때문에 그의 영화에서 계속 주목을 하게 된다. 이미지의 과잉이 점점 심해지는 시대에 그의 시선은 과잉을 견제하는 굵은 선의 시선으로 ‘아무르’까지는 걸어왔다."
"미르","4.0","2","0","2022. 04. 11.
열 아홉 번째 영화 : 아무르
⠀
겪어보지 않고서는 그려낼 수 없는 일들을 영상에 담았다.
⠀
우리 할머니는, 내가 기억이란 걸 할 때 즈음부터는 늘 안방 윗목에 앉아있거나 누워계셨다. 그도 그럴 게 할머니는 풍을 맞아 거동이 불편하셨고 말씀도 하실 수 없었으며 의사표현이라고는 눈을 끔뻑이거나 고개를 겨우 움직여 도리도리를 하시는 게 전부셨다.
⠀
조르주는 딱 한 번 그랬을 뿐이지만 할아버지는 할머니를 자주 때리셨다. 특히 밥상을 앞에 두고는 자주 그러셨는데 그 때 당시 나는 스스로 가장 답답할 사람인 할머니를 할아버지는 왜 저렇게 괴롭히지 못해서 안달이 났을까, 늘 원망스러웠다.
⠀
그렇다고 해서 폭력이 정당화 될 수는 절대 없지만 영화를 보고 할아버지의 마음을 백분의 일 정도는 이해하게 됐다. 돌이켜보면 할아버지는, 그러면서도 늘 할머니 곁을 떠나지 않았다. 첫 닭이 울기도 전 새벽부터 일어나 가요무대가 끝날 때 쯤 잠자리에 누우실 때까지 할아버지는 할머니를 떠나지 않았다. 할머니의 일거수일투족을 함께 하며 평생을 돌보아 온 할아버지의 마음을 어쩌다 한 번씩 들러 눈물을 흘리고 가는 에바 그리고 나 따위가 알 리 없을 터였다.
⠀
할머니가 돌아가시고 할아버지는 이 주 정도 가출을 했었다. 2004년도, 슬라이드 폰이 처음 나온 해. 할아버지가 어딜 가셨는지 우리는 알 길이 없었다. 할머니 발인이 끝나고 정확히 이 주 뒤 할아버지는 슬그머니 집에 돌아오셨는데 그 뒤로부터도 약 일주일 동안 아무 말씀이 없으셨다. 침묵의 일주일 뒤부터 할아버지는 아무런 기별도 주지 않은 채 갑자기 꺼이꺼이 큰 소리를 내어 울기 시작했다. 시도 때도 그리고 우리가 인지할 겨를도 없이 터진 할아버지의 울음은 그로부터 약 반 년을 더 갔다.
⠀
할아버지는 한탄강에 갔었다고 했다. 어느 리뷰엔가에도 쓴 적이 있던 거 같은데, 나는 할아버지가 한탄강에 가 굳이 무엇을 했는지 묻지 않았다. 묻지 않아도 알 것 같았던 탓에. 할아버지는 이따금씩 고풍스런 도자기 사이에 폭 묻혀있는 할머니 영정 사진을 닦으면서 남남북녀라는 말 들어본 적 있냐고, 너희 할머니가 그렇게 이뻤다고 자랑 자랑을 했다. 나는 늘 속으로 ‘그렇게 이뻐할 거였으면 살아 계실 때나 좀 잘하지’라고 생각했었다.
⠀
해소해내기 도저히 어려운 큰 감정이 내가 사랑하는 사람에게 닥치면 나는 어떤 모습일까. 내가 해결해 줄 수도 없고 오로지 바라만 보는 게 전부라면 나는 어떤 식으로 좌절할까. 조용하지만 섬짓하고, 영화지만 너무 현실적이어서 두려웠던 이야기. 아무르, 불어로 사랑이라는 뜻."
"송동진","4.0","2","0","내세와 이승을 잇는 연속의 쇼트는 그 자체로 숭고한 영화적 마법이다. 시간적으로도 공간적으로도 분절된 상황 속 아무런 미동 없는 정지된 연출, 즉 연출의 부재가 오롯이 연출이 되어 생에 찰나도 경험할 수 없는 순간을 우리에게 선물해준다."
"박현우","4.5","2","0","지독하게 냉정하고도 관조적인 자세로 인생의 끝자락을 말하는 천재 감독"
"프로도","4.5","2","0","누구나 후회없이 맞이하게 될 비극에 대하여"
"씨네빈 CiNeBeen","3.5","2","0","궁극의 사랑은 죽음의 경계를 허문다"
"이현주","4.5","2","0","리스트에 9년간 있던 영화
우선순위에서 밀리고 밀려 드디어 보았다

지루하게 느껴지는 그 감성이 좋다
마지막 장면의 먹먹함이 오래 남는다"
"m.blue","5.0","2","0","사랑의 온기를 도둑맞은 순간.
그럼에도 우리가 함께했던 지난 세월이 온통 꽃으로 가득 찬 캠프 같았기를 바라는 야속한 마음."
"Long take","4.0","2","0","#토론토 #코로나19 #두번째 락다운 #방콕286일 #미카엘 하네케 #늙어간다는 것 #사랑과 존엄 #예고없이 찾아오는 #현실적인 #앰마누엘 리바-히로시마 내사랑 #이자벨 위페르 #칸-황금종려상(2012)"
"김병석","4.5","2","0","삶의 마지막 단막을 잘라 놓은듯 꾸준히 건조한 카메라."
"영화광","5.0","2","0","정적. 노부부의 현실. 이렇지 않았으면 하는 희망"
"예루","4.5","2","0","사람은 어째서 다 사람인걸까 늙어간다는건 어째서 이리도 쓸쓸한 일인걸까

나란히 선 조미료 통들이나 다 쓴 키친타올의 갈색 면 개수대의 마시다 만 와인잔같은 것들이 너무 일상적이어서 도리어 사람의 마음을 더 아리게 한다"
"정호핀쳐","4.5","2","0","그대를 사랑합니다."
"탁주현","4.5","2","0","당신을 보내고 또 나는 당신과 함께 해요"
"몬타나","4.0","2","0","사랑하는 사람과 평생을 같이 살고 같이 끝을 맞이하고 싶지만, 그건 꿈이기에.
같이 끝을 맞이하지 하지는 못해도 당신이 그만 괴로울 수 있다면."
"싱요미","4.5","2","0","늙고 노쇠해간다는 것. 한 평생 함께 해온 배우자의 처절한 늙어감을 무력하게 지켜봐야한다는 것."
"임지호","4.0","2","0","죽음 이후에 남겨질 사람들을 기나긴 숏으로 담아내는 카메라. 다 식은 차를 마시듯 고통스럽게 느껴졌다. 겪어 보았기에, 앞으로 겪을 것이기에."
"j.you","5.0","2","0","내가 가장 사랑하는 것을 앗아가는 것은 운명. 나를 마중 나오는 것은 사랑."
"신하진","4.5","2","0","결국 도달하지만 끝끝내 도달하지 못 하는, 스스로도 연륜이니 운명이니 하는 이유로 적응할 수 없어 외면하고 마는, 아득하며 동시에 눈치 채지 못 하게 내가 되어버린 일상."
